"Sample"	"X83755"	"X83820"	"X83894"	"X83944"	"X84042"	"X84108"	"X84109"	"X84226"	"X84239"	"X84265"	"X84302"	"X84424"	"X84443"	"X84481"	"X84551"	"X84575"	"X84609"	"X84804"	"X84817"	"X85054"	"X85061"	"X85109"	"X85120"	"X85215"	"X85491"	"X85562"	"X85571"	"X85598"	"X85669"	"X85681"	"X85684"	"X85735"	"X85740"	"X85875"	"X85900"	"X85918"	"X85928"	"X86334"	"X86335"	"X86433"	"X86435"	"X86451"	"X86480"	"X86500"	"X86505"	"X86515"	"X86558"	"X86565"	"X86573"	"X86581"	"X86657"	"X86662"	"X86674"	"X86699"	"X86732"	"X86806"	"X86831"	"X86859"	"X86875"	"X86878"	"X86913"	"X86949"	"X86982"	"X86987"	"X87064"	"X87114"	"X87175"	"X87186"	"X87198"	"X87215"	"X87228"	"X87256"	"X87417"	"X87688"	"X87987"	"X88002"	"X88019"	"X88021"	"X88054"	"X88173"	"X88191"	"X88253"	"X88303"	"X88320"	"X88329"	"X88441"	"X88516"	"X88544"	"X88692"	"X88719"	"X88764"	"X88838"	"X89079"	"X89103"	"X89144"	"X89173"	"X89184"	"X89237"	"X89320"	"X89352"	"X89371"	"X89490"	"X89551"	"X89633"	"X89649"	"X89650"	"X89803"	"X89822"	"X89902"	"X89909"	"X90021"	"X90046"	"X90088"	"X90158"	"X90171"	"X90341"	"X90367"	"X90432"	"X90481"	"X90511"	"X90594"	"X90694"	"X90739"	"X90772"	"X90824"	"X91004"	"X91099"	"X91166"	"X91220"	"X91343"	"X91440"	"X91461"	"X91538"	"X91584"	"X91733"	"X91747"	"X91950"	"X92019"	"X92024"	"X92048"	"X92103"	"X92105"	"X92135"	"X92139"	"X92185"	"X92188"	"X92283"	"X92286"	"X92491"	"X92561"	"X92883"	"X92954"	"X92989"	"X92990"	"X92993"	"X93051"	"X93107"	"X93109"	"X93143"	"X93146"	"X93220"	"X93304"	"X93337"	"X93435"	"X93565"
"X83755"	0	0.916666666666667	0.979591836734694	1	0.962962962962963	0.927272727272727	0.948275862068966	0.852941176470588	0.929577464788732	0.914893617021277	0.962264150943396	0.96969696969697	0.92	0.916666666666667	0.967213114754098	0.894736842105263	0.948717948717949	0.966666666666667	0.836065573770492	0.950819672131147	0.959183673469388	0.951612903225806	0.916666666666667	0.954545454545455	0.98	0.95	0.86	0.946428571428571	0.957746478873239	0.830188679245283	0.883333333333333	0.955555555555556	0.962264150943396	0.957746478873239	0.790697674418605	0.983606557377049	0.969230769230769	0.943396226415094	0.862745098039216	0.915492957746479	0.901960784313726	0.95	0.901639344262295	0.981818181818182	0.961538461538462	0.949152542372881	0.955555555555556	0.981481481481482	0.925373134328358	0.924242424242424	0.933333333333333	0.932203389830508	0.981481481481482	0.982142857142857	0.941176470588235	0.902439024390244	0.962962962962963	0.941176470588235	0.96	0.907407407407407	0.946428571428571	0.892857142857143	0.935483870967742	0.956521739130435	0.980392156862745	0.946428571428571	0.942307692307692	0.945454545454545	0.953846153846154	0.957446808510638	0.942307692307692	0.938775510204082	0.981481481481482	0.894736842105263	0.982142857142857	0.968253968253968	0.885245901639344	0.938775510204082	0.925925925925926	0.945454545454545	0.878787878787879	1	0.959459459459459	0.892857142857143	0.918367346938776	0.891304347826087	0.933333333333333	0.931818181818182	0.925925925925926	1	0.944444444444444	0.980392156862745	0.886792452830189	0.962962962962963	0.935064935064935	0.934210526315789	0.971014492753623	0.952380952380952	0.953846153846154	0.921875	0.913793103448276	1	0.966666666666667	0.950819672131147	0.913793103448276	0.977272727272727	0.842105263157895	0.953125	0.963636363636364	0.958333333333333	0.913793103448276	0.951612903225806	0.945454545454545	0.92156862745098	0.979591836734694	0.958333333333333	0.901639344262295	0.983333333333333	0.934426229508197	0.859649122807018	0.951219512195122	0.950819672131147	0.942307692307692	0.982456140350877	0.92156862745098	1	0.897058823529412	0.88135593220339	0.923076923076923	0.92156862745098	1	0.89873417721519	0.962264150943396	1	0.944444444444444	0.944444444444444	0.968253968253968	0.946428571428571	0.863636363636364	0.849056603773585	0.98	0.921875	0.816326530612245	0.941176470588235	0.983050847457627	0.979591836734694	0.977777777777778	0.944444444444444	0.952380952380952	0.938775510204082	0.96875	0.984375	1	0.85	0.936507936507937	0.912280701754386	0.957446808510638	0.893617021276596	0.949152542372881	0.943396226415094	1	0.941176470588235	0.964912280701754	0.950819672131147	0.944444444444444
"X83820"	0.916666666666667	0	0.978260869565217	1	0.980769230769231	0.88	0.884615384615385	0.880597014925373	0.942028985507246	0.978723404255319	0.916666666666667	0.968253968253968	0.891304347826087	0.957446808510638	0.928571428571429	0.867924528301887	0.917808219178082	0.964912280701754	0.903225806451613	0.929824561403509	0.978723404255319	0.931034482758621	0.931034482758621	0.976190476190476	0.978723404255319	0.909090909090909	0.981132075471698	0.962962962962963	0.955882352941177	0.946428571428571	0.896551724137931	1	0.916666666666667	0.955882352941177	0.934782608695652	0.982758620689655	0.915254237288136	0.980769230769231	0.92156862745098	0.878787878787879	0.94	0.928571428571429	0.915254237288136	0.980769230769231	0.9375	0.982758620689655	0.926829268292683	0.96	0.954545454545455	0.96969696969697	0.890909090909091	0.96551724137931	0.916666666666667	0.92	0.98	0.975609756097561	0.980769230769231	0.98	1	0.901960784313726	0.962962962962963	0.865384615384615	0.894736842105263	0.953488372093023	1	0.962962962962963	0.893617021276596	0.92156862745098	0.984375	0.954545454545455	1	1	0.96	0.947368421052632	1	0.949152542372881	0.951612903225806	0.911111111111111	0.92156862745098	0.829787234042553	0.955882352941177	0.977272727272727	0.895522388059702	0.964912280701754	1	0.933333333333333	0.902439024390244	0.976744186046512	0.942307692307692	0.929824561403509	0.92	0.957446808510638	0.88	0.96078431372549	0.887323943661972	0.945945945945946	0.920634920634921	0.932203389830508	1	0.96875	0.867924528301887	0.946428571428571	0.946428571428571	0.966101694915254	0.947368421052632	0.975609756097561	0.932203389830508	0.984126984126984	0.92	0.906976744186046	0.909090909090909	0.966666666666667	0.942307692307692	0.893617021276596	0.955555555555556	0.978260869565217	0.836363636363636	0.925925925925926	0.851851851851852	0.931034482758621	0.974358974358974	0.948275862068966	0.980392156862745	0.942307692307692	0.893617021276596	0.979166666666667	0.941176470588235	0.932203389830508	0.96078431372549	1	0.978723404255319	0.936708860759494	0.916666666666667	0.953488372093023	0.941176470588235	0.897959183673469	0.912280701754386	0.88	0.931818181818182	0.964285714285714	0.956521739130435	0.952380952380952	0.877551020408163	0.866666666666667	0.982142857142857	0.978260869565217	0.897435897435897	0.941176470588235	0.983870967741935	0.979166666666667	0.932203389830508	0.966666666666667	0.962264150943396	0.976190476190476	0.915254237288136	0.907407407407407	1	0.957446808510638	0.964912280701754	0.96078431372549	0.954545454545455	0.9375	0.901960784313726	0.929824561403509	0.91044776119403
"X83894"	0.979591836734694	0.978260869565217	0	0.947368421052632	0.972972972972973	0.975	0.951219512195122	1	0.982456140350877	1	1	0.979591836734694	0.971428571428571	1	0.977272727272727	1	0.984126984126984	1	1	0.977777777777778	0.96875	0.955555555555556	0.978260869565217	0.962962962962963	1	0.953488372093023	0.916666666666667	1	0.981818181818182	1	1	1	0.972222222222222	0.981818181818182	1	0.976744186046512	0.979166666666667	1	0.974358974358974	0.964912280701754	1	0.953488372093023	0.979166666666667	1	0.941176470588235	0.976744186046512	0.964285714285714	0.972222222222222	0.941176470588235	0.980769230769231	1	0.977272727272727	1	0.973684210526316	1	0.961538461538462	0.972972972972973	1	0.903225806451613	0.975	0.948717948717949	0.976744186046512	0.933333333333333	1	1	0.975	0.972222222222222	0.974358974358974	1	0.966666666666667	1	0.96969696969697	0.972222222222222	0.977272727272727	1	0.978260869565217	0.979591836734694	0.96969696969697	0.947368421052632	1	0.981818181818182	0.96551724137931	0.927272727272727	1	1	0.96875	0.96551724137931	0.964285714285714	1	0.977777777777778	0.973684210526316	0.96969696969697	0.975	0.972972972972973	0.984126984126984	1	0.980769230769231	1	1	0.98	0.953488372093023	0.976744186046512	0.976744186046512	0.954545454545455	0.977272727272727	0.961538461538462	0.978723404255319	0.979166666666667	0.973684210526316	0.967741935483871	0.977272727272727	0.978260869565217	0.974358974358974	0.972222222222222	0.933333333333333	1	0.934782608695652	0.976190476190476	0.955555555555556	0.978260869565217	1	0.904761904761905	0.972222222222222	1	0.972222222222222	0.96969696969697	0.963636363636364	0.909090909090909	1	1	0.96875	0.985294117647059	0.942857142857143	0.96551724137931	0.973684210526316	0.973684210526316	0.978260869565217	0.948717948717949	1	0.976190476190476	0.935483870967742	1	0.974358974358974	0.971428571428571	1	0.967741935483871	0.962962962962963	1	1	1	0.978723404255319	0.978260869565217	0.974358974358974	1	0.957446808510638	0.976744186046512	1	1	0.976744186046512	0.944444444444444	0.966666666666667	1	0.975	0.954545454545455	0.964285714285714
"X83944"	1	1	0.947368421052632	0	0.954545454545455	0.979166666666667	0.959183673469388	0.953846153846154	0.984615384615385	1	0.977272727272727	0.982456140350877	1	1	1	0.980769230769231	0.985915492957746	0.96	1	1	0.948717948717949	0.92156862745098	1	1	0.948717948717949	0.96078431372549	1	0.911111111111111	1	0.980392156862745	0.982142857142857	0.972222222222222	0.977272727272727	0.950819672131147	1	0.980392156862745	0.982142857142857	0.954545454545455	1	1	1	1	0.963636363636364	0.930232558139535	1	1	1	0.902439024390244	0.966666666666667	0.966101694915254	1	0.96078431372549	0.953488372093023	1	1	0.970588235294118	0.954545454545455	1	1	0.979166666666667	1	0.96	0.981818181818182	1	1	0.934782608695652	0.977272727272727	1	0.964285714285714	0.973684210526316	0.953488372093023	1	0.953488372093023	0.980769230769231	1	0.962264150943396	0.925925925925926	1	0.909090909090909	0.978723404255319	0.967741935483871	1	0.984848484848485	0.980392156862745	1	1	1	0.972222222222222	0.933333333333333	0.941176470588235	1	1	1	0.977777777777778	0.956521739130435	0.955882352941177	0.983333333333333	1	1	0.946428571428571	0.96078431372549	0.96	0.916666666666667	0.961538461538462	0.980769230769231	1	1	1	0.955555555555556	0.947368421052632	0.980769230769231	0.942307692307692	0.978723404255319	1	0.947368421052632	0.974358974358974	0.944444444444444	1	0.962264150943396	0.942307692307692	1	1	1	0.978723404255319	0.928571428571429	0.95	0.984375	1	1	1	1	0.986842105263158	0.875	1	1	0.978260869565217	1	0.979166666666667	1	1	0.948717948717949	0.982758620689655	0.978723404255319	1	0.979591836734694	1	1	1	1	1	0.943396226415094	1	0.978723404255319	1	0.963636363636364	0.96	1	1	1	1	1	0.976744186046512	0.979166666666667	0.981132075471698	0.918032786885246
"X84042"	0.962962962962963	0.980769230769231	0.972972972972973	0.954545454545455	0	0.906976744186046	0.911111111111111	0.88135593220339	0.950819672131147	0.818181818181818	0.771428571428571	0.981818181818182	0.95	0.947368421052632	0.9375	0.914893617021277	0.970588235294118	0.91304347826087	0.927272727272727	0.893617021276596	0.973684210526316	0.980769230769231	1	0.903225806451613	0.885714285714286	0.959183673469388	0.902439024390244	0.955555555555556	0.949152542372881	0.958333333333333	0.854166666666667	0.970588235294118	0.868421052631579	0.949152542372881	0.823529411764706	1	0.942307692307692	0.976744186046512	0.85	0.916666666666667	0.952380952380952	0.98	0.9	0.952380952380952	0.95	0.958333333333333	0.970588235294118	0.925	0.96551724137931	0.946428571428571	1	1	0.951219512195122	1	0.95	0.862068965517241	0.926829268292683	0.95	0.974358974358974	0.825	0.978260869565217	0.91304347826087	0.92	0.941176470588235	0.918918918918919	0.978260869565217	0.925	0.82051282051282	0.857142857142857	0.972222222222222	0.951219512195122	0.974358974358974	0.951219512195122	0.9375	0.875	0.980769230769231	0.88	0.974358974358974	0.930232558139535	0.930232558139535	0.872727272727273	0.971428571428571	0.951612903225806	0.837209302325581	0.975	1	0.941176470588235	0.970588235294118	0.977777777777778	0.916666666666667	0.953488372093023	0.918918918918919	0.931818181818182	0.9	0.888888888888889	0.954545454545455	0.964912280701754	0.981132075471698	1	0.963636363636364	0.98	0.979591836734694	0.91304347826087	0.869565217391304	0.9375	0.96875	1	0.981481481481482	0.953488372093023	0.972972972972973	0.914893617021277	0.980769230769231	0.878048780487805	0.976190476190476	0.914285714285714	0.972972972972973	0.942307692307692	1	0.980769230769231	0.847826086956522	1	0.893617021276596	0.976190476190476	0.85	0.897435897435897	1	0.967213114754098	0.961538461538462	1	0.897435897435897	0.973684210526316	0.958333333333333	0.837837837837838	0.909090909090909	0.953488372093023	0.953488372093023	1	0.955555555555556	0.914285714285714	0.979166666666667	0.885714285714286	0.924528301886792	0.82051282051282	0.975609756097561	0.956521739130435	0.914285714285714	0.9375	0.953488372093023	0.92	0.947368421052632	0.981132075471698	0.96078431372549	0.930232558139535	1	0.9	0.91304347826087	0.972222222222222	0.857142857142857	0.979591836734694	0.976744186046512	0.942857142857143	0.894736842105263	0.978260869565217	0.980392156862745	0.933333333333333
"X84108"	0.927272727272727	0.88	0.975	0.979166666666667	0.906976744186046	0	0.938775510204082	0.921875	0.953125	0.975609756097561	0.85	0.927272727272727	0.928571428571429	0.897435897435897	0.875	0.875	0.957142857142857	0.847826086956522	0.892857142857143	0.942307692307692	0.923076923076923	0.943396226415094	0.943396226415094	0.972222222222222	0.95	0.92	0.956521739130435	0.958333333333333	0.934426229508197	0.94	0.905660377358491	0.972972972972973	0.756756756756757	0.934426229508197	0.925	0.96078431372549	0.862745098039216	0.955555555555556	0.804878048780488	0.9375	0.931818181818182	0.941176470588235	0.884615384615385	0.955555555555556	0.953488372093023	0.96078431372549	0.882352941176471	0.930232558139535	0.967213114754098	0.949152542372881	0.942307692307692	0.961538461538462	0.930232558139535	0.978723404255319	0.928571428571429	1	0.978260869565217	0.977272727272727	0.951219512195122	0.837209302325581	0.91304347826087	0.94	0.944444444444444	0.973684210526316	1	0.936170212765957	0.930232558139535	0.911111111111111	0.907407407407407	0.947368421052632	0.977777777777778	0.976190476190476	0.930232558139535	0.897959183673469	0.978723404255319	0.923076923076923	0.964912280701754	0.951219512195122	0.86046511627907	0.934782608695652	0.796296296296296	0.973684210526316	0.885245901639344	0.872340425531915	0.926829268292683	0.894736842105263	0.945945945945946	0.944444444444444	0.911111111111111	0.877551020408163	0.956521739130435	0.925	0.91304347826087	0.880952380952381	0.893939393939394	0.941176470588235	0.912280701754386	0.882352941176471	0.982758620689655	0.947368421052632	0.92	0.918367346938776	0.94	0.942307692307692	0.897959183673469	0.941176470588235	0.924528301886792	0.982456140350877	0.909090909090909	0.891891891891892	0.851063829787234	0.943396226415094	0.86046511627907	0.930232558139535	0.948717948717949	1	0.945454545454545	0.96	0.943396226415094	0.88	1	0.981481481481482	0.977777777777778	0.934782608695652	0.954545454545455	0.976190476190476	0.935483870967742	0.944444444444444	0.955555555555556	0.977777777777778	0.975609756097561	0.885714285714286	0.878048780487805	0.916666666666667	0.933333333333333	0.933333333333333	0.901960784313726	0.958333333333333	0.891891891891892	0.938775510204082	0.923076923076923	0.909090909090909	0.911111111111111	0.902439024390244	0.959183673469388	0.975	0.878787878787879	0.909090909090909	0.944444444444444	0.951219512195122	0.924528301886792	0.943396226415094	0.957446808510638	0.942857142857143	0.964285714285714	0.94	0.918918918918919	0.925	0.918367346938776	0.955555555555556	0.918918918918919	0.846153846153846	0.958333333333333	0.942307692307692	0.919354838709677
"X84109"	0.948275862068966	0.884615384615385	0.951219512195122	0.959183673469388	0.911111111111111	0.938775510204082	0	0.940298507462687	0.921875	0.926829268292683	0.956521739130435	0.966101694915254	0.906976744186046	1	0.962962962962963	0.962962962962963	0.958333333333333	1	0.933333333333333	0.903846153846154	0.976744186046512	0.925925925925926	0.925925925925926	0.973684210526316	0.976744186046512	0.901960784313726	0.936170212765957	0.980392156862745	0.953125	0.942307692307692	0.909090909090909	1	0.956521739130435	0.901639344262295	0.928571428571429	0.981481481481482	0.928571428571429	0.979166666666667	0.914893617021277	0.939393939393939	0.979166666666667	0.923076923076923	0.909090909090909	0.979166666666667	0.931818181818182	0.981481481481482	0.974358974358974	0.956521739130435	0.951612903225806	0.915254237288136	0.944444444444444	1	0.956521739130435	0.91304347826087	0.955555555555556	0.882352941176471	0.957446808510638	0.978260869565217	0.977272727272727	0.893617021276596	0.938775510204082	0.9	0.946428571428571	0.948717948717949	1	0.938775510204082	0.933333333333333	0.914893617021277	0.983333333333333	0.894736842105263	0.978723404255319	0.977272727272727	0.956521739130435	0.981818181818182	0.979591836734694	0.982456140350877	0.87037037037037	1	0.959183673469388	0.9375	0.919354838709677	0.975	0.970588235294118	0.962264150943396	1	0.976744186046512	0.948717948717949	0.974358974358974	0.9375	0.963636363636364	0.837209302325581	0.953488372093023	0.938775510204082	0.979166666666667	0.863636363636364	0.942857142857143	0.933333333333333	0.982758620689655	0.966101694915254	0.931034482758621	0.943396226415094	0.92156862745098	0.942307692307692	0.944444444444444	0.923076923076923	0.972972972972973	0.964912280701754	0.983050847457627	0.958333333333333	0.951219512195122	0.943396226415094	0.982456140350877	0.9375	0.978723404255319	0.925	0.976190476190476	0.928571428571429	0.875	0.964285714285714	0.925925925925926	0.971428571428571	0.944444444444444	0.978723404255319	0.98	0.883720930232558	0.977272727272727	0.920634920634921	0.907407407407407	0.957446808510638	1	0.976744186046512	0.918918918918919	0.933333333333333	0.921052631578947	0.936170212765957	0.91304347826087	0.964285714285714	0.96	0.925	0.961538461538462	0.926829268292683	0.966666666666667	0.914893617021277	0.931818181818182	0.980769230769231	0.925	0.945945945945946	0.958333333333333	0.927272727272727	0.977272727272727	0.964912280701754	0.964285714285714	0.959183673469388	0.973684210526316	0.909090909090909	0.9	0.975609756097561	0.953488372093023	0.877551020408163	1	0.864864864864865	0.955555555555556	0.893617021276596	0.944444444444444	0.904761904761905
"X84226"	0.852941176470588	0.880597014925373	1	0.953846153846154	0.88135593220339	0.921875	0.940298507462687	0	0.925	0.929824561403509	0.916666666666667	0.973684210526316	0.950819672131147	0.966666666666667	0.859375	0.893939393939394	0.942528735632184	0.909090909090909	0.875	0.895522388059702	0.929824561403509	0.897058823529412	0.943661971830986	0.923076923076923	0.948275862068966	0.957142857142857	0.864406779661017	0.921875	0.909090909090909	0.857142857142857	0.867647058823529	0.982142857142857	0.916666666666667	0.936708860759494	0.872727272727273	0.971428571428571	0.915492957746479	0.88135593220339	0.885245901639344	0.884615384615385	0.935483870967742	0.942028985507246	0.930555555555556	0.935483870967742	0.950819672131147	0.892307692307692	0.963636363636364	0.968253968253968	0.987654320987654	0.875	0.942857142857143	0.971830985915493	0.984375	0.969230769230769	0.933333333333333	0.92156862745098	0.935483870967742	0.950819672131147	0.983606557377049	0.85	0.970149253731343	0.892307692307692	0.865671641791045	0.945454545454545	0.931034482758621	0.938461538461538	0.951612903225806	0.920634920634921	0.8	1	0.968253968253968	0.931034482758621	0.968253968253968	0.942028985507246	0.969230769230769	0.972602739726027	0.916666666666667	0.949152542372881	0.953846153846154	0.903225806451613	0.864864864864865	0.964285714285714	0.89873417721519	0.857142857142857	0.894736842105263	0.948275862068966	0.964285714285714	0.963636363636364	0.953846153846154	0.911764705882353	0.969230769230769	0.949152542372881	0.904761904761905	0.9	0.85	0.890243902439024	0.961538461538462	0.972972972972973	0.973684210526316	0.887323943661972	0.859375	0.985915492957746	0.925373134328358	0.927536231884058	0.893939393939394	0.981481481481482	0.958904109589041	0.973333333333333	0.936507936507937	0.96551724137931	0.926470588235294	0.928571428571429	0.847457627118644	0.951612903225806	0.983050847457627	0.96551724137931	0.867647058823529	0.985714285714286	0.943661971830986	0.846153846153846	0.980769230769231	0.957746478873239	0.968253968253968	0.953846153846154	0.879310344827586	0.983606557377049	0.866666666666667	0.972972972972973	0.96875	0.968253968253968	0.929824561403509	0.910112359550562	0.934426229508197	0.925925925925926	0.901639344262295	0.901639344262295	0.958333333333333	0.887096774193548	0.888888888888889	0.924242424242424	0.948275862068966	0.887323943661972	0.903225806451613	0.967741935483871	0.955223880597015	0.983050847457627	0.923076923076923	0.936507936507937	0.882352941176471	0.851851851851852	0.986666666666667	0.958333333333333	0.9375	0.833333333333333	0.959459459459459	0.909090909090909	0.982758620689655	0.872727272727273	0.925373134328358	0.935483870967742	0.964912280701754	0.896551724137931	0.904761904761905	0.942857142857143	0.897435897435897
"X84239"	0.929577464788732	0.942028985507246	0.982456140350877	0.984615384615385	0.950819672131147	0.953125	0.921875	0.925	0	0.964912280701754	0.967213114754098	0.972972972972973	0.931034482758621	0.983050847457627	0.907692307692308	0.940298507462687	0.875	0.985507246376812	0.932432432432432	0.941176470588235	0.982758620689655	0.971830985915493	0.942028985507246	0.961538461538462	0.982758620689655	0.955882352941177	0.951612903225806	0.984848484848485	0.906666666666667	0.870967741935484	0.897058823529412	1	0.95	0.861111111111111	0.909090909090909	0.985507246376812	0.972602739726027	0.984126984126984	0.918032786885246	0.851351351351351	0.950819672131147	0.955882352941177	0.863636363636364	0.87719298245614	0.966666666666667	0.970588235294118	0.962264150943396	0.95	0.987341772151899	0.784615384615385	0.971428571428571	0.924242424242424	0.967213114754098	0.984375	0.983606557377049	0.96078431372549	0.984126984126984	0.983606557377049	1	0.919354838709677	0.901639344262295	0.888888888888889	0.927536231884058	0.981818181818182	1	0.969230769230769	0.932203389830508	0.918032786885246	0.944444444444444	0.924528301886792	0.983870967741935	0.983050847457627	0.854545454545454	0.907692307692308	1	0.957142857142857	0.929577464788732	0.96551724137931	0.918032786885246	0.96875	0.891891891891892	0.981818181818182	0.866666666666667	0.985507246376812	0.948275862068966	0.946428571428571	0.943396226415094	0.981481481481482	0.862068965517241	0.909090909090909	0.951612903225806	0.888888888888889	0.919354838709677	0.967741935483871	0.941176470588235	0.927710843373494	0.960526315789474	0.986301369863014	1	0.986842105263158	0.985714285714286	0.939393939393939	0.955223880597015	0.941176470588235	0.924242424242424	0.96078431372549	0.942857142857143	0.986486486486487	0.859649122807018	0.925925925925926	0.907692307692308	0.942028985507246	0.952380952380952	0.875	0.964285714285714	1	0.958333333333333	0.985294117647059	0.971830985915493	0.926470588235294	1	0.956521739130435	0.95	0.918032786885246	0.983870967741935	0.983050847457627	0.9625	0.911764705882353	0.967741935483871	1	0.982758620689655	0.920454545454545	0.95	0.901960784313726	0.879310344827586	0.968253968253968	0.957142857142857	0.969230769230769	0.945454545454545	0.970149253731343	0.946428571428571	0.915492957746479	0.9	0.912280701754386	0.96969696969697	0.945454545454545	0.897959183673469	0.859649122807018	0.825396825396825	0.867924528301887	0.895522388059702	0.957142857142857	0.9	0.981132075471698	0.928571428571429	0.90625	1	0.947368421052632	0.955223880597015	0.915254237288136	0.944444444444444	0.983606557377049	0.781818181818182	0.909090909090909	0.962962962962963
"X84265"	0.914893617021277	0.978723404255319	1	1	0.818181818181818	0.975609756097561	0.926829268292683	0.929824561403509	0.964912280701754	0	0.848484848484849	0.959183673469388	0.972222222222222	0.939393939393939	0.977777777777778	0.977777777777778	1	0.928571428571429	0.897959183673469	0.906976744186046	0.903225806451613	0.956521739130435	0.933333333333333	0.84	0.866666666666667	0.977777777777778	0.888888888888889	0.975609756097561	0.963636363636364	0.928571428571429	0.80952380952381	0.928571428571429	0.972972972972973	0.903846153846154	0.793103448275862	0.977272727272727	0.979591836734694	0.973684210526316	0.828571428571429	0.928571428571429	0.885714285714286	1	0.91304347826087	0.945945945945946	0.942857142857143	0.875	0.96551724137931	0.914285714285714	0.981481481481482	0.941176470588235	0.978260869565217	0.977777777777778	0.944444444444444	0.974358974358974	0.942857142857143	0.88	0.945945945945946	0.84375	0.970588235294118	0.95	0.975609756097561	0.902439024390244	0.911111111111111	1	0.970588235294118	0.95	0.944444444444444	0.828571428571429	0.914893617021277	0.967741935483871	0.882352941176471	0.939393939393939	0.972972972972973	0.977777777777778	0.823529411764706	1	0.866666666666667	0.90625	0.975	0.921052631578947	0.924528301886792	0.966666666666667	1	0.902439024390244	0.941176470588235	0.96969696969697	0.931034482758621	1	0.975	0.978260869565217	0.888888888888889	0.870967741935484	0.95	0.945945945945946	0.968253968253968	0.933333333333333	0.981132075471698	0.934782608695652	0.98	0.96	0.977777777777778	1	0.928571428571429	0.906976744186046	0.930232558139535	0.923076923076923	0.957446808510638	0.979591836734694	1	1	0.977777777777778	0.978723404255319	0.948717948717949	0.972972972972973	0.96875	1	0.936170212765957	0.976744186046512	1	0.909090909090909	1	0.906976744186046	1	0.975	0.944444444444444	1	0.945454545454545	0.934782608695652	0.945945945945946	0.848484848484849	0.96969696969697	0.939393939393939	0.944444444444444	0.966666666666667	0.918918918918919	0.947368421052632	0.978723404255319	1	0.862068965517241	0.926829268292683	0.96969696969697	0.916666666666667	0.828571428571429	0.942857142857143	0.897435897435897	0.935483870967742	0.964285714285714	0.974358974358974	0.934782608695652	0.939393939393939	1	0.956521739130435	0.948717948717949	0.964285714285714	0.936170212765957	0.928571428571429	0.967741935483871	0.793103448275862	0.977272727272727	0.945945945945946	0.967741935483871	0.942857142857143	1	1	0.964912280701754
