FoodID	taxonomy	Main.food.description
11111000.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Milk_cows_fluid_whole	Milk cows fluid whole
11112110.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Milk_cows_fluid_2_fat	Milk cows fluid 2 fat
11112210.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Milk_cows_fluid_1_fat	Milk cows fluid 1 fat
11320000.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Milk_soy_ready_to_drink_not_babys	Milk soy ready to drink not babys
11411100.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Yogurt_plain_whole_milk	Yogurt plain whole milk
11411200.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Yogurt_plain_lowfat_milk	Yogurt plain lowfat milk
11431000.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Yogurt_fruit_variety_whole_milk	Yogurt fruit variety whole milk
12130100.0	L1_Milk_and_Milk_Products;L2_Creams_and_cream_substitutes;Cream_heavy_fluid	Cream heavy fluid
14103020.0	L1_Milk_and_Milk_Products;L2_Cheeses;Cheese_Brie	Cheese Brie
14107030.0	L1_Milk_and_Milk_Products;L2_Cheeses;Cheese_Mozzarella_part_skim	Cheese Mozzarella part skim
14109010.0	L1_Milk_and_Milk_Products;L2_Cheeses;Cheese_Swiss	Cheese Swiss
14410110.0	L1_Milk_and_Milk_Products;L2_Cheeses;Cheese_American	Cheese American
14660200.0	L1_Milk_and_Milk_Products;L2_Cheeses;Cheese_nuggets_or_pieces_breaded_baked_or_fried	Cheese nuggets or pieces breaded baked or fried
21416000.0	L1_Meat_Poultry_Fish_and_Mixtures;L2_Beef;Corned_beef_cooked_NS_as_to_fat_eaten	Corned beef cooked NS as to fat eaten
21602100.0	L1_Meat_Poultry_Fish_and_Mixtures;L2_Beef;Beef_jerky	Beef jerky
22101520.0	L1_Meat_Poultry_Fish_and_Mixtures;L2_Pork;Pork_chop_stewed_lean_only_eaten	Pork chop stewed lean only eaten
22107020.0	L1_Meat_Poultry_Fish_and_Mixtures;L2_Pork;Pork_chop_smoked_or_cured_cooked_lean_only_eaten	Pork chop smoked or cured cooked lean only eaten
