Var	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38
PHOS	-0.26548088656482	0.115783836747511	-0.125810506389254	-0.177658155388	0.0359938833563769	-0.0522011245753588	0.0383978661614663	-0.047345098163842	0.0670606582543253	-0.119142440703247	0.0444219389237122	-0.00983529588194058	-0.0412860225097122	0.0943457071825661	-0.0340716227743266	-0.0997990144169842	0.23425724871489	-0.264783888077433	-0.0965281233787103	-0.012208841588773	-0.048499909161136	0.0292723328067393	0.0087576537831911	0.127111822612742	0.109789141589038	-0.163604605646199	-0.559326068423203	-0.151779574897269	0.016334095642421	0.199207223371045	0.152948023398471	0.00876235449658565	0.28513457046243	-0.110624650055694	-0.192664668460336	-0.282526145340968	-0.0984552770061568	-0.0794024991884967
TFAT	-0.291785928259416	0.0577904537896539	0.0204495883982536	0.0294498331997787	-0.189738597617495	0.0802628536240243	0.150824084674181	-0.0107488781388603	-0.0121390811320809	0.17095115836824	-0.109826487348962	-0.0264956260847943	-0.0943198497084842	-0.0790748286040825	0.0422174638214211	0.0654744816778952	0.0755101000040042	0.0320300039512849	0.00991368973477831	-0.0599448447222765	-0.0980187975882279	-0.0262625102302815	-0.0359934418805539	0.0310430355129469	0.0566243518129213	-0.0486257026606537	0.270293154810009	-0.123201441640962	-0.0303437991362985	0.0894919673589714	0.114809462907639	-0.130780040721374	0.0759899697064794	-0.189816801306848	0.142949449930642	-0.358976349168679	0.555278771260818	0.35516158324019
CARB	-0.161024760519514	-0.127010316282443	0.261357698903013	0.203777302154229	-0.00772675503498096	-0.0468525000475817	0.116956770253412	-0.0459671371650989	-0.0540546299264083	-0.0233692605961228	0.0790035241592076	-0.352284827299212	0.0972130765760212	0.124574147915324	-0.00997699922951046	0.0840203479094427	0.247858704426418	-0.0142279183029668	-0.215236586161034	-0.0883225814766146	0.160317937158457	-0.26973397362088	0.0567476292253105	0.0568624846443908	0.169060039445772	-0.129698649436469	0.121778090519401	0.335217357257395	0.0554613161421279	0.366041488067221	-0.22236721692071	0.0145310377543644	-0.0282239818509146	-0.225008923275055	0.0324755665360532	0.121176725274989	-0.129835771817262	-0.00978785097561347
MOIS	-0.0857602086073623	-0.0709696903309199	0.0380740723004291	0.100108797180644	0.208575118083473	-0.345414632866009	-0.07552285563304	0.472446274085857	0.144628452783992	0.0884194267721322	-0.120997917153194	-0.259525519893081	0.260627998387098	-0.248430846210454	0.0903491621760422	0.160741441349564	-0.105189962687369	0.0585964092988925	0.0208606017890684	-0.290674691270585	-0.0697801693280792	-0.05823656207014	-0.055655151853507	0.158044796432385	0.00353999694259467	0.0157859921561276	-0.0623743002335945	-0.227277808624302	0.0420703572191931	-0.0347791618513926	0.229067266682562	0.0766319508820745	-0.0070120586925726	-0.0968229017504244	-0.0509505982147792	0.124848740422881	0.0940594197547976	-0.143842886250726
ALC	-0.180124510167212	0.120890297011154	0.248878089828253	0.0879478536422936	0.0410308755957756	-0.102345213080878	-0.0960415626887181	-0.0219843563467233	0.0752869363105538	-0.0255485129396961	-0.223581657740306	-0.198891550442939	0.0205001943938349	0.0413505202046754	-0.455724055081663	-0.215943421464592	-0.147802198114554	-0.157918827006358	0.114976508509979	-0.00941205079957655	-0.21052683905585	0.422782251003745	0.0838506738641806	0.0514807276983762	-0.0707070551553293	0.0818769982498682	0.0500271849708662	-0.0997360188885286	-0.236174770290637	0.0613516926557636	-0.310337772987845	0.0399422493342507	-0.0387979445633994	-0.085180954541769	0.0910002768870816	-0.00586375731675964	-0.109706481126118	0.0743923261076292
CAFF	-0.18380745349174	0.105479646414163	0.252337763862313	0.127863066213157	0.0601938654526448	-0.0435191078534118	-0.170744857849774	0.176075431970296	-0.0849560016337589	0.134190127378947	-0.0903030019398999	-0.16352347078991	-0.15740100338581	-0.083445754137609	0.257939738048847	-0.00502491962867184	-0.165174386994734	-0.156882194859805	0.0273339775249834	0.20383497771934	0.335782301088401	-0.101472610334584	-0.123947696282862	-0.246298742186564	-0.0728121919866262	-0.0205764939291866	-0.28528022589527	0.0517041218887325	0.128748396984425	-0.23017023215477	-0.28892523354883	-0.0332795634583312	0.154422945216253	0.174375001737485	0.144057631412999	-0.163328301178297	0.0181461500571333	0.108533144927169
THEO	-0.208205031286945	0.0299045557964548	0.178480535613492	0.114185241456081	-0.045138399166042	0.063200464184258	0.389449815744067	-0.105129246766743	-0.12987588395381	-0.087914273859242	0.141047932542229	-0.0273485471595725	0.0658976915703024	0.278148114202466	-0.0107668538199053	0.0580541881131485	0.13114782034508	0.0554123024577205	0.0761446171503899	-0.149367808965291	0.0487981521929935	-0.165678328011959	-0.336049176554487	0.11809600693857	-0.290946095487499	0.0450887263298298	-0.0633845461629763	-0.399933434232958	-0.203028005793167	-0.198215709796193	-0.0265127452474971	-0.0205628057737106	-0.0598949258157562	0.204345177047912	0.0172363296572294	0.15870923910366	-0.0586195101844455	0.00627002979679581
FIBE	-0.0251618017418127	-0.35256220489238	0.0285978739810206	0.0157904607797901	-0.155693119283644	-0.114897300921686	-0.00325525728552112	-0.120577427307882	-0.161998091629563	0.0215494324436174	0.0418808097156032	-0.10142417468681	0.0440449915888761	0.100554955493095	0.0401003823409168	-0.0974978735412578	0.0835780000718267	-0.326586235254388	0.104564521177018	0.0676649032734169	0.266132321795842	0.340235692972627	-0.0303993784825951	-0.00921882310796615	-0.0932955287535053	0.274293898194171	-0.0798518573237666	0.0216300828746677	0.206901992049163	0.153730781976831	0.328336134620028	0.234089937064058	-0.137543660734885	0.0542271024889691	0.184791350874475	0.121229864142999	0.226297151706937	-0.0399895780465589
CALC	-0.225086505764829	0.0093121598810258	0.142537008745926	-0.259143440639305	0.0345945821830457	0.0152359358778003	0.00508869823133218	0.00615400251682269	-0.0989476869978034	-0.186608357640549	0.143377048857016	0.0858892721323967	0.279278967813541	-0.168326954291972	-0.0105689432430364	0.128424764932135	-0.140961874550006	0.00400972943004376	-0.238312382384967	0.555764842619784	-0.0949037741122423	-0.0609734021913776	0.0149745324486286	0.213493372532109	-0.283894460463994	0.154324685085239	0.0946718294938873	-0.0226370259778236	0.139634901202976	-0.0406130525594833	-0.0743402451870199	0.063170655742086	0.0613917603572892	-0.235135358048131	-0.0827513759263089	0.0543307059176082	0.0758004480516866	-0.0395667027289792
IRON	-0.144171869318709	-0.233063376234557	0.0598867675244905	0.0370265132478684	0.28685007324578	-0.102018646088761	-0.124465747736994	-0.29231621397605	-0.140963538952694	-0.0511172059681672	-0.0383725813703633	-0.177780235173159	-0.0213553037850813	0.125199919179506	0.109095537728246	0.141554887859429	0.0728380141650069	0.137045967900372	-0.0121581694209583	-0.128951563081681	-0.0601929892727051	0.14653744356309	0.139842687863588	-0.186607885476985	-0.0623653201121822	0.230316756539491	0.252302516602965	-0.0583100058199364	0.160915561749107	-0.198477645786632	0.121512552372834	-0.126592522482367	0.195494329632006	0.0205093231975644	-0.330000498240148	-0.283768186049532	-0.224867764937888	0.0603119670533753
