Variables	Min	FirstQu	Median	Mean	ThirdQu	Max	SD
UserName	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric
RecallRecId	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric
UserID	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric
RecallNo	1	1	2	2.03296703296703	3	3	0.82966143313067
RecallAttempt	0	0	0	0	0	0	0
RecallStatus	2	2	2	2	2	2	0
IntakeStartDateTime	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric
IntakeEndDateTime	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric
ReportingDate	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric
Lang	1	1	1	1	1	1	0
Occ_No	1	1	3	2.53626373626374	3	6	1.23205323447517
Occ_Time	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric
Occ_Name	1	1	3	3	4	7	1.67384650268101
EatWith	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric
WatchTVuseComputer	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric
Location	1	1	1	2.64175824175824	3	11	2.44436175529798
FoodNum	1	4	7	7.26593406593407	10	22	4.19272024290802
FoodType	1	1	1	1.15824175824176	1	2	0.365369264078775
FoodSrce	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric
CodeNum	1	4	8	8.53626373626374	12	24	5.10099576707848
FoodCode	11111000	41601070	63223020	60984825.2241758	75302080	95230020	24150964.6893587
ModCode	0	0	0	0	0	0	0
HowMany	0.0208	0.5	1	3.08787751648352	3	42.525	4.79075594215615
SubCode	0	0	0	0	0	0	0
PortionCode	98	10205	30000	31391.9406593407	61009	64696	22267.4305816348
FoodAmt	0.3	28.175	80	132.6847503663	228.4	720	129.126954640199
KCAL	0	10.425	76.8	130.439196198169	173.3	1196.79	167.820077351877
PROT	0	0.33954	1.81104	6.1819434487326	6.500985	85.32216	10.6041948290773
TFAT	0	0.087421875	1.6235	6.02142226857509	7.4609	70.4396	9.78429371648283
CARB	0	0.788859375	4.11355	13.0012759619231	17.304	132.7728	20.2014524741151
MOIS	0.00046	15.9702454166666	53.865	105.850050752201	174.90195	716.688	117.949001289639
ALC	0	0	0	0.220338461538462	0	14.04	1.64597143221747
CAFF	0	0	0	4.40530549450549	0	228.96	21.5976725551282
THEO	0	0	0	1.12869230769231	0	154.05	10.2863557940535
SUGR	0	0.065895	0.8055	4.15845442387546	4.195625	92.079	8.80938918817871
FIBE	0	0	0.4749375	1.42404597069597	2.005	16.764	2.28326167776679
CALC	0	5.37	16.392192	63.4995691161172	57.345	734.8	114.833743453117
IRON	0	0.0864	0.36288	0.997311030516484	1.2626	17.992	1.77932568738202
MAGN	0	3.77125	12.6	22.4198535714286	29.2325	177.12	26.8830713913843
