F_TOTAL	F_CITMLB	F_JUICE	V_TOTAL	V_DRKGR	V_REDOR_TOTAL	V_REDOR_OTHER	V_STARCHY_TOTAL	PF_SEAFD_LOW	V_OTHER	PF_LEGUMES	G_TOTAL	G_WHOLE	PF_TOTAL	PF_MEAT	PF_CUREDMEAT	PF_POULT	PF_SEAFD_HI	PF_EGGS	PF_SOY	PF_NUTSDS	D_TOTAL	D_MILK	D_YOGURT	OILS	SOLID_FATS	ADD_SUGARS
4.037445	0.65995	0.342	3.656365	1.66584	0	0	0	0	1.990525	4.93515	5.4384	2.652	3.1117	0	0	0	0	1.8093	0	1.3024	1.34064	0.21168	0	46.7644	14.58214	12.53787
1.5301	1.0116	0.0135	1.90620625	1.014375	0.3005	0.3005	0	0	0.59133125	0.54	4.4072	4.2542	2.501	0	0	0	0	0	0	2.501	2.39525	0.8885	1.50675	36.48778	18.798	10.32484
0	0	0	4.280535	0.00999	1.48535	0	0.1288625	0	2.6563325	4.35105	5.0421	1.5522	0.6446	0	0	0	0	0.303	0	0.3416	0.1515	0.1515	0	69.071045	2.4395775	1.7271
0	0	0	7.08473125	0.74125	0.8484	0	4.6146	0	0.88048125	0.772875	1.605	0	4.69793125	0	0.2016	0	0	0.202	3.3558	0.93853125	0.7076	0.589	0	65.58897375	9.271	0.80064
0	0	0	3.8974	1	0.0876	0.0876	0	0	2.8098	0	0.2907	0	8.85268	0	6.00453	0	0	2.0374	0	0.81075	1.41182	1.41182	0	47.93102	17.66818	5.60112
0	0	0	4.4355	0	0	0	0	0	4.4355	0	0	0	25.130085	0	2.2704	4.0362	11.32866	2.6832	0	4.811625	0.8227	0.1548	0	77.094175	44.70215	0
1.4256	0	0.432	3.152335	0.9072	0.0445	0	0.2916	3.47532	1.909035	0.192	0	0	11.94288	0	0	2.5272	2.76696	2.5584	0.192	0.423	2.3574	0.45	0.57	37.383	19.8924	1.935
0.404675	0.16515	0	2.919625	0	0.84385	0	1.3481	0	0.727675	0	6.2791	0	9.2302	6.5898	0.8547	0	0	1.7857	0	0	3.7155825	1.15845	0.4068	24.3004	71.558025	14.84655
0.5244	0.5244	0	0.88695	0	0.07665	0.07665	0	0	0.8103	0	8.7728	0	3.24255	0	3.1236	0	0	0.11895	0	0	1.4425625	0.466	0.1255625	12.03665	52.56495	9.14738
0	0	0	1.7595925	0.00999	0.174	0	1.0713625	0	0.50424	0	7.0275	0	9.8285	3.78	0	5.7635	0	0.285	0	0	1.2118375	0.2125	0	55.443365	31.4102375	23.936835
