PHOS	TFAT	CARB	MOIS	ALC	CAFF	THEO	FIBE	CALC	IRON	MAGN	POTA	SODI	ZINC	COPP	VC	VB1	VB2	NIAC	VB6	FDFE	FF	VB12	VARA	LZ	ACAR	CRYP	LYCO	ATOC	CHOLN	S140	S120	M161	VITD	M221	PFAT	P226	B12_ADD
1787.454	82.97721	337.797305	1879.619255	0	26.784	0	52.6255	889.8455	31.282	589.3865	4615.4	2298.6625	11.776515	1.935984	209.0321	1.8824795	2.9713065	18.727928	3.8298235	846.246	539.446	5.17202	1261.6665	14273.5815	106.7165	56.118	13.35	9.85131	572.56365	1.2467585	0.186061	0.739316	4.8812	0.00881	28.958611	0.03441	3.016
1249.71375	70.0805675	215.73181125	1572.1327	0	30.24	3.36	23.2785625	1427.682625	14.62889625	320.956875	2571.68975	2069.72325	8.95374875	1.565804125	137.937725	1.316055	2.01259875	14.495942125	4.12060975	1340.191875	316.791875	13.23145	1111.70925	5437.084375	1614.475	19.3755	4.704	16.76526	195.7137125	2.698117	3.081726	0.483881	10.193	0.008646	18.754671375	0	10.7937
808.23875	80.388625	152.82959	1669.28599	0	50.4	5.04	33.903775	912.45375	11.7972475	284.445	2974.3545	2550.0885	5.6415325	1.27804425	179.478475	1.13795325	0.94949825	10.92888775	1.63787025	495.5415	410.3265	1.8099	310.61825	1340.89375	344.10725	68.6735	7582.125	18.987955	182.495325	0.195533	0.06083225	0.96673175	3.375425	0.0045	28.4141615	0.00909	1.5372
1164.270625	87.53381125	211.841305	1666.2724875	0	0	0	29.3516875	700.038875	14.00947125	373.169375	4653.9535	4285.981375	6.74501125	2.06632475	117.71185	4.570951875	1.267285625	18.259224625	2.540221	525.235625	481.815625	3.7027	344.282375	3388.636875	143.916875	12.668625	3374.064	9.8703225	219.7563375	0.863747	0.263219625	0.3996655	2.102	0.00658725	31.170423875	0.0067	2.8341
1126.238	90.00309	61.39264	1152.67065	0	0	0	12.1654	696.464	7.31352	172.051	2034.002	3888.654	9.02809	1.146269	72.312	1.565963	1.797407	12.194734	1.489832	268.378	264.958	5.21159	613.21	2212.814	583.38	24.414	8.76	8.58331	578.3338	0.970418	0.279412	1.100434	7.6735	0.029442	35.1618	0.061926	2.1777
2524.6525	177.16881	64.8051	1049.907645	0	0	0	22.189	583.9375	13.03479	407.226	4639.97	5375.608	13.36961	2.4030875	237.6015	1.4890035	2.4126545	56.9373245	4.6696245	405.545	405.545	18.44379	757.195	3863.735	66.64	53.735	0	14.011785	1032.0588	3.767239	0.820187	3.290175	49.6206	0.1965	54.34961	1.4646	0
2146.164	84.104945	103.523845	2176.9113	4.59	34.56	0	14.77495	951.987	10.356315	369.282	3674.99	4040.697	11.57748	1.6050825	98.77645	0.961387	3.336335	27.1620405	2.689442	356.4115	356.4115	10.8669	904.832	9208.122	86.46	101.4	1079.214	9.44999	790.72655	1.820307	0.5233335	1.253251	19.0263	0.052296	22.4295085	0.530328	0
1932.531	128.8942975	255.40106	2049.9821075	12.636	229.71	37.35	13.19925	1493.7225	18.2485075	348.05325	3527.2455	4522.74425	22.2833425	1.20072925	51.6435	1.56277275	2.797338	31.5495535	2.30834775	403.545	226.545	9.855115	633.872	755.0995	126.56025	86.018	12458.46525	7.8766	569.315125	4.47155775	0.96267175	2.38574875	6.5615	0.008851	20.71660525	0.05254	0
1072.01875	79.7755125	211.699415	1825.7520725	14.04	175.68	0	11.4265	801.67425	16.6775625	173.065	1515.30975	3511.1305	7.0108175	0.55893725	72.084125	1.92937625	1.9486845	21.29325375	1.467655	518.81875	148.79875	5.1784625	857.45375	223.775	353.885	5.4	0	4.336925	167.158	2.86356375	0.66403875	1.58280375	2.7735	0.27732	15.194095	0.00114	3.24
1777.604	114.590715	281.3244275	1831.2903325	14.04	225.48	0	12.9147	1100.0205	12.62063	241.2765	2774.1615	4474.283	13.6102775	0.7918365	45.275775	1.440086	2.034342	35.62053425	2.07043725	388.0865	175.4865	5.05338	250.63325	588.74375	47.5655	138.09025	3618.684	8.76876	431.6904	2.0093335	0.4141655	2.11860375	3.781725	0.1550385	26.94160425	0.012851	0
