FoodID	taxonomy	Main.food.description
11100000.0	L1_Milk_and_Milk_Products;Milk_NFS	Milk NFS
11111000.0	L1_Milk_and_Milk_Products;Milk_cows_fluid_whole	Milk cows fluid whole
11112110.0	L1_Milk_and_Milk_Products;Milk_cows_fluid_2_fat	Milk cows fluid 2 fat
11112210.0	L1_Milk_and_Milk_Products;Milk_cows_fluid_1_fat	Milk cows fluid 1 fat
11113000.0	L1_Milk_and_Milk_Products;Milk_cows_fluid_skim_or_nonfat_0_5_or_less_butterfat	Milk cows fluid skim or nonfat 0 5 or less butterfat
11114320.0	L1_Milk_and_Milk_Products;Milk_cows_fluid_lactose_reduced_nonfat	Milk cows fluid lactose reduced nonfat
11114330.0	L1_Milk_and_Milk_Products;Milk_cows_fluid_lactose_reduced_2_fat	Milk cows fluid lactose reduced 2 fat
11115100.0	L1_Milk_and_Milk_Products;Buttermilk_fluid_1_fat	Buttermilk fluid 1 fat
11115300.0	L1_Milk_and_Milk_Products;Buttermilk_fluid_whole	Buttermilk fluid whole
11320000.0	L1_Milk_and_Milk_Products;Milk_soy_ready_to_drink_not_babys	Milk soy ready to drink not babys
11350000.0	L1_Milk_and_Milk_Products;Milk_almond_ready_to_drink	Milk almond ready to drink
11350010.0	L1_Milk_and_Milk_Products;Milk_almond_ready_to_drink_chocolate	Milk almond ready to drink chocolate
11411100.0	L1_Milk_and_Milk_Products;Yogurt_plain_whole_milk	Yogurt plain whole milk
11411200.0	L1_Milk_and_Milk_Products;Yogurt_plain_lowfat_milk	Yogurt plain lowfat milk
11411300.0	L1_Milk_and_Milk_Products;Yogurt_plain_nonfat_milk	Yogurt plain nonfat milk
11421000.0	L1_Milk_and_Milk_Products;Yogurt_vanilla_lemon_or_coffee_flavor_whole_milk	Yogurt vanilla lemon or coffee flavor whole milk
11422000.0	L1_Milk_and_Milk_Products;Yogurt_vanilla_lemon_maple_or_coffee_flavor_lowfat_milk	Yogurt vanilla lemon maple or coffee flavor lowfat milk
11423000.0	L1_Milk_and_Milk_Products;Yogurt_vanilla_lemon_maple_or_coffee_flavor_nonfat_milk	Yogurt vanilla lemon maple or coffee flavor nonfat milk
11431000.0	L1_Milk_and_Milk_Products;Yogurt_fruit_variety_whole_milk	Yogurt fruit variety whole milk
11432000.0	L1_Milk_and_Milk_Products;Yogurt_fruit_variety_lowfat_milk	Yogurt fruit variety lowfat milk
11432500.0	L1_Milk_and_Milk_Products;Yogurt_fruit_variety_lowfat_milk_sweetened_with_low_calorie_sweetener	Yogurt fruit variety lowfat milk sweetened with low calorie sweetener
11433000.0	L1_Milk_and_Milk_Products;Yogurt_fruit_variety_nonfat_milk	Yogurt fruit variety nonfat milk
11433500.0	L1_Milk_and_Milk_Products;Yogurt_fruit_variety_nonfat_milk_sweetened_with_low_calorie_sweetener	Yogurt fruit variety nonfat milk sweetened with low calorie sweetener
11459990.0	L1_Milk_and_Milk_Products;Yogurt_frozen_NS_as_to_flavor_NS_as_to_type_of_milk	Yogurt frozen NS as to flavor NS as to type of milk
11460170.0	L1_Milk_and_Milk_Products;Yogurt_frozen_flavors_other_than_chocolate_lowfat_milk	Yogurt frozen flavors other than chocolate lowfat milk
11511000.0	L1_Milk_and_Milk_Products;Milk_chocolate_NFS	Milk chocolate NFS
11511200.0	L1_Milk_and_Milk_Products;Milk_chocolate_reduced_fat_milk_based_2_formerly_lowfat_	Milk chocolate reduced fat milk based 2 formerly lowfat 
11513000.0	L1_Milk_and_Milk_Products;Cocoa_and_sugar_mixture_milk_added_NS_as_to_type_of_milk	Cocoa and sugar mixture milk added NS as to type of milk
11513100.0	L1_Milk_and_Milk_Products;Cocoa_and_sugar_mixture_whole_milk_added	Cocoa and sugar mixture whole milk added
11513150.0	L1_Milk_and_Milk_Products;Cocoa_and_sugar_mixture_reduced_fat_milk_added	Cocoa and sugar mixture reduced fat milk added
11514100.0	L1_Milk_and_Milk_Products;Cocoa_sugar_and_dry_milk_mixture_water_added	Cocoa sugar and dry milk mixture water added
11514300.0	L1_Milk_and_Milk_Products;Cocoa_with_nonfat_dry_milk_and_low_calorie_sweetener_mixture_water_added	Cocoa with nonfat dry milk and low calorie sweetener mixture water added
