FoodID	taxonomy	Main.food.description
11100000.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;Milk_NFS	Milk NFS
11111000.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;Milk_whole	Milk whole
11112110.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;Milk_reduced_fat_2_	Milk reduced fat 2 
11112210.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;Milk_low_fat_1_	Milk low fat 1 
11113000.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;Milk_fat_free_skim_	Milk fat free skim 
11114300.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;Milk_lactose_free_low_fat_1_	Milk lactose free low fat 1 
11114320.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;Milk_lactose_free_fat_free_skim_	Milk lactose free fat free skim 
11114330.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;Milk_lactose_free_reduced_fat_2_	Milk lactose free reduced fat 2 
11210050.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid_evaporated_and_condensed;Milk_evaporated_NS_as_to_fat_content	Milk evaporated NS as to fat content
11320100.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid_imitation;Soy_milk_light	Soy milk light
11350000.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid_imitation;Almond_milk_sweetened	Almond milk sweetened
11350020.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid_imitation;Almond_milk_unsweetened	Almond milk unsweetened
11370000.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid_imitation;Coconut_milk	Coconut milk
11410000.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Yogurt;Yogurt_NS_as_to_type_of_milk_or_flavor	Yogurt NS as to type of milk or flavor
11411100.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Yogurt;Yogurt_whole_milk_plain	Yogurt whole milk plain
11411300.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Yogurt;Yogurt_nonfat_milk_plain	Yogurt nonfat milk plain
11411410.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Yogurt;Yogurt_Greek_low_fat_milk_plain	Yogurt Greek low fat milk plain
11411420.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Yogurt;Yogurt_Greek_nonfat_milk_plain	Yogurt Greek nonfat milk plain
11430000.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Yogurt;Yogurt_NS_as_to_type_of_milk_fruit	Yogurt NS as to type of milk fruit
11432000.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Yogurt;Yogurt_low_fat_milk_fruit	Yogurt low fat milk fruit
11433000.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Yogurt;Yogurt_nonfat_milk_fruit	Yogurt nonfat milk fruit
11433990.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Yogurt;Yogurt_Greek_NS_as_to_type_of_milk_fruit	Yogurt Greek NS as to type of milk fruit
11434010.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Yogurt;Yogurt_Greek_low_fat_milk_fruit	Yogurt Greek low fat milk fruit
