FoodID	taxonomy	Main.food.description
11100000.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Milk_NFS	Milk NFS
11111000.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Milk_whole	Milk whole
11112110.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Milk_reduced_fat_2_	Milk reduced fat 2 
11112210.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Milk_low_fat_1_	Milk low fat 1 
11113000.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Milk_fat_free_skim_	Milk fat free skim 
11114300.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Milk_lactose_free_low_fat_1_	Milk lactose free low fat 1 
11114320.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Milk_lactose_free_fat_free_skim_	Milk lactose free fat free skim 
11114330.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Milk_lactose_free_reduced_fat_2_	Milk lactose free reduced fat 2 
11114350.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Milk_lactose_free_whole	Milk lactose free whole
11115000.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Buttermilk_fat_free_skim_	Buttermilk fat free skim 
11115100.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Buttermilk_low_fat_1_	Buttermilk low fat 1 
11115200.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Buttermilk_reduced_fat_2_	Buttermilk reduced fat 2 
11115300.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Buttermilk_whole	Buttermilk whole
11115400.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Kefir_NS_as_to_fat_content	Kefir NS as to fat content
11116000.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Goat_s_milk_whole	Goat s milk whole
11120000.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Milk_dry_reconstituted_NS_as_to_fat_content	Milk dry reconstituted NS as to fat content
11121100.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Milk_dry_reconstituted_whole	Milk dry reconstituted whole
11121300.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Milk_dry_reconstituted_fat_free_skim_	Milk dry reconstituted fat free skim 
11210050.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Milk_evaporated_NS_as_to_fat_content	Milk evaporated NS as to fat content
11211050.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Milk_evaporated_whole	Milk evaporated whole
11211400.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Milk_evaporated_reduced_fat_2_	Milk evaporated reduced fat 2 
11220000.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Milk_condensed_sweetened	Milk condensed sweetened
11320000.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Soy_milk	Soy milk
11320100.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Soy_milk_light	Soy milk light
11320200.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Soy_milk_nonfat	Soy milk nonfat
11321000.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Soy_milk_chocolate	Soy milk chocolate
11321100.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Soy_milk_light_chocolate	Soy milk light chocolate
11321200.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Soy_milk_nonfat_chocolate	Soy milk nonfat chocolate
11350000.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Almond_milk_sweetened	Almond milk sweetened
11350010.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Almond_milk_sweetened_chocolate	Almond milk sweetened chocolate
11350020.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Almond_milk_unsweetened	Almond milk unsweetened
11350030.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Almond_milk_unsweetened_chocolate	Almond milk unsweetened chocolate
11360000.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Rice_milk	Rice milk
11370000.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Coconut_milk	Coconut milk
11400000.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Yogurt_NFS	Yogurt NFS
11400010.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Yogurt_Greek_NS_as_to_type_of_milk_or_flavor	Yogurt Greek NS as to type of milk or flavor
11410000.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Yogurt_NS_as_to_type_of_milk_or_flavor	Yogurt NS as to type of milk or flavor
11411010.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Yogurt_NS_as_to_type_of_milk_plain	Yogurt NS as to type of milk plain
11411100.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Yogurt_whole_milk_plain	Yogurt whole milk plain
11411200.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Yogurt_low_fat_milk_plain	Yogurt low fat milk plain
11411300.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Yogurt_nonfat_milk_plain	Yogurt nonfat milk plain
11411390.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Yogurt_Greek_NS_as_to_type_of_milk_plain	Yogurt Greek NS as to type of milk plain
11411400.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Yogurt_Greek_whole_milk_plain	Yogurt Greek whole milk plain
11411410.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Yogurt_Greek_low_fat_milk_plain	Yogurt Greek low fat milk plain
11411420.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Yogurt_Greek_nonfat_milk_plain	Yogurt Greek nonfat milk plain
11430000.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Yogurt_NS_as_to_type_of_milk_fruit	Yogurt NS as to type of milk fruit
11431000.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Yogurt_whole_milk_fruit	Yogurt whole milk fruit
11432000.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Yogurt_low_fat_milk_fruit	Yogurt low fat milk fruit
11433000.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Yogurt_nonfat_milk_fruit	Yogurt nonfat milk fruit
11433990.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Yogurt_Greek_NS_as_to_type_of_milk_fruit	Yogurt Greek NS as to type of milk fruit
11434000.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Yogurt_Greek_whole_milk_fruit	Yogurt Greek whole milk fruit
11434010.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Yogurt_Greek_low_fat_milk_fruit	Yogurt Greek low fat milk fruit
11434020.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Yogurt_Greek_nonfat_milk_fruit	Yogurt Greek nonfat milk fruit
11434090.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Yogurt_NS_as_to_type_of_milk_flavors_other_than_fruit	Yogurt NS as to type of milk flavors other than fruit
11434100.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Yogurt_whole_milk_flavors_other_than_fruit	Yogurt whole milk flavors other than fruit
11434200.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Yogurt_low_fat_milk_flavors_other_than_fruit	Yogurt low fat milk flavors other than fruit
11434300.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Yogurt_nonfat_milk_flavors_other_than_fruit	Yogurt nonfat milk flavors other than fruit
11435000.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Yogurt_Greek_NS_as_to_type_of_milk_flavors_other_than_fruit	Yogurt Greek NS as to type of milk flavors other than fruit
11435010.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Yogurt_Greek_whole_milk_flavors_other_than_fruit	Yogurt Greek whole milk flavors other than fruit
11435020.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Yogurt_Greek_low_fat_milk_flavors_other_than_fruit	Yogurt Greek low fat milk flavors other than fruit
11435030.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Yogurt_Greek_nonfat_milk_flavors_other_than_fruit	Yogurt Greek nonfat milk flavors other than fruit
11435100.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Yogurt_Greek_with_oats	Yogurt Greek with oats
11436000.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Yogurt_liquid	Yogurt liquid
11440010.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Chipotle_dip_yogurt_based	Chipotle dip yogurt based
11440020.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Dill_dip_yogurt_based	Dill dip yogurt based
11440040.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Ranch_dip_yogurt_based	Ranch dip yogurt based
11440050.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Spinach_dip_yogurt_based	Spinach dip yogurt based
11440060.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Tzatziki_dip	Tzatziki dip
11440070.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Vegetable_dip_yogurt_based	Vegetable dip yogurt based
11459990.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Yogurt_frozen_NS_as_to_flavor_NS_as_to_type_of_milk	Yogurt frozen NS as to flavor NS as to type of milk
11460000.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;Yogurt_frozen_flavors_other_than_chocolate_NS_as_to_type_of_milk	Yogurt frozen flavors other than chocolate NS as to type of milk
