FoodID	taxonomy	Main.food.description
11100000.0	L1_Milk_and_Milk_Products;Milk_NFS	Milk NFS
11111000.0	L1_Milk_and_Milk_Products;Milk_whole	Milk whole
11111160.0	L1_Milk_and_Milk_Products;Milk_calcium_fortified_low_fat_1_	Milk calcium fortified low fat 1 
11111170.0	L1_Milk_and_Milk_Products;Milk_calcium_fortified_fat_free_skim_	Milk calcium fortified fat free skim 
11112110.0	L1_Milk_and_Milk_Products;Milk_reduced_fat_2_	Milk reduced fat 2 
11112120.0	L1_Milk_and_Milk_Products;Milk_acidophilus_low_fat_1_	Milk acidophilus low fat 1 
11112130.0	L1_Milk_and_Milk_Products;Milk_acidophilus_reduced_fat_2_	Milk acidophilus reduced fat 2 
11112210.0	L1_Milk_and_Milk_Products;Milk_low_fat_1_	Milk low fat 1 
11113000.0	L1_Milk_and_Milk_Products;Milk_fat_free_skim_	Milk fat free skim 
11114300.0	L1_Milk_and_Milk_Products;Milk_lactose_free_low_fat_1_	Milk lactose free low fat 1 
11114320.0	L1_Milk_and_Milk_Products;Milk_lactose_free_fat_free_skim_	Milk lactose free fat free skim 
11114330.0	L1_Milk_and_Milk_Products;Milk_lactose_free_reduced_fat_2_	Milk lactose free reduced fat 2 
11114350.0	L1_Milk_and_Milk_Products;Milk_lactose_free_whole	Milk lactose free whole
11115000.0	L1_Milk_and_Milk_Products;Buttermilk_fat_free_skim_	Buttermilk fat free skim 
11115100.0	L1_Milk_and_Milk_Products;Buttermilk_low_fat_1_	Buttermilk low fat 1 
11115200.0	L1_Milk_and_Milk_Products;Buttermilk_reduced_fat_2_	Buttermilk reduced fat 2 
11115300.0	L1_Milk_and_Milk_Products;Buttermilk_whole	Buttermilk whole
11116000.0	L1_Milk_and_Milk_Products;Goat_s_milk_whole	Goat s milk whole
11120000.0	L1_Milk_and_Milk_Products;Milk_dry_reconstituted_NS_as_to_fat_content	Milk dry reconstituted NS as to fat content
11121100.0	L1_Milk_and_Milk_Products;Milk_dry_reconstituted_whole	Milk dry reconstituted whole
11121210.0	L1_Milk_and_Milk_Products;Milk_dry_reconstituted_low_fat_1_	Milk dry reconstituted low fat 1 
11121300.0	L1_Milk_and_Milk_Products;Milk_dry_reconstituted_fat_free_skim_	Milk dry reconstituted fat free skim 
11210050.0	L1_Milk_and_Milk_Products;Milk_evaporated_NS_as_to_fat_content	Milk evaporated NS as to fat content
11211050.0	L1_Milk_and_Milk_Products;Milk_evaporated_whole	Milk evaporated whole
11211400.0	L1_Milk_and_Milk_Products;Milk_evaporated_reduced_fat_2_	Milk evaporated reduced fat 2 
11212050.0	L1_Milk_and_Milk_Products;Milk_evaporated_fat_free_skim_	Milk evaporated fat free skim 
11220000.0	L1_Milk_and_Milk_Products;Milk_condensed_sweetened	Milk condensed sweetened
11320000.0	L1_Milk_and_Milk_Products;Soy_milk	Soy milk
11320100.0	L1_Milk_and_Milk_Products;Soy_milk_light	Soy milk light
11320200.0	L1_Milk_and_Milk_Products;Soy_milk_nonfat	Soy milk nonfat
11321000.0	L1_Milk_and_Milk_Products;Soy_milk_chocolate	Soy milk chocolate
11321100.0	L1_Milk_and_Milk_Products;Soy_milk_light_chocolate	Soy milk light chocolate
11321200.0	L1_Milk_and_Milk_Products;Soy_milk_nonfat_chocolate	Soy milk nonfat chocolate
11340000.0	L1_Milk_and_Milk_Products;Imitation_milk_non_soy_sweetened	Imitation milk non soy sweetened
11410000.0	L1_Milk_and_Milk_Products;Yogurt_NS_as_to_type_of_milk_or_flavor	Yogurt NS as to type of milk or flavor
11411010.0	L1_Milk_and_Milk_Products;Yogurt_NS_as_to_type_of_milk_plain	Yogurt NS as to type of milk plain
11411100.0	L1_Milk_and_Milk_Products;Yogurt_whole_milk_plain	Yogurt whole milk plain
