KCAL	SODI	SUGR	FF	TFAT	PFAT	CHL	ATOC	ATOA	RET	VARA	ACAR	BCAR	CRYP	LYCO	LZ	IRON	NIAC	FDFE	ZINC	B12A	VC	VD	CALC	POTA	CAFF	THEO	ALCO	MOIS	S140	S100	S120	M201	M221	P226	P225
1293	1771.5	105.67	58	40.13	12.8775	210.55	4.775	0	408	425.5	0.5	196.5	34	2259.5	247.5	6.805	13.244	350	6.155	1.04	49.2	6.75	730.5	1691.5	7	54	0	835.435	0.923	0.247	0.265	0.2735	0.0195	0.08	0.0145
1218.5	3010.5	67.295	142.5	56.085	18.429	209.4	5.905	0	124.5	351.5	853.5	2303	8.5	4728.5	1113.5	9.66	8.0625	248.5	3.705	0	12.35	1.85	503.5	1399	253.5	69.5	0	1873.825	0.53	0.146	0.181	0.1385	0.0085	0.03	0.006
1833	3165.5	119.5	172.5	68.485	17.415	201.35	9.315	0	127.5	309	420	1922	117	129	1356	10.62	21.6545	354	7.085	0	142.05	0.95	758.5	2101	25.5	20.5	0	2935.685	1.4485	0.2875	0.841	0.211	0.03	0.011	0.0135
1381	1633.5	89.98	90	52.605	12.9575	119.55	5.36	0.03	316.5	328	4.5	131.5	17	2631.5	246.5	9.465	12.968	207	4.195	0	202.25	1.15	512.5	1951.5	1.5	20.5	0	1196.87	0.961	0.191	0.1995	0.245	0.0265	0.001	0.006
2878.5	4123.5	161.04	120.5	124.605	16.8655	299.5	6	0	1285	1313	0	319.5	9.5	1413.5	198.5	17.43	34.5095	920.5	16.135	3.34	15.6	11.2	1683	2421	26.5	134	0	1622.735	6.824	1.738	1.9735	0.291	0.0095	0.0035	0.039
2464.5	3429	128.575	240.5	95.715	17.411	505.5	8.52	0	771.5	790	24	208.5	12.5	80	580.5	10.86	25.138	400.5	13.27	1.065	43.15	5.85	1022	2889	83	8.5	23.4	2585.085	4.3265	1.209	1.3225	0.3775	0.0145	0.1405	0.037
1398	2207.5	64.285	120	65.045	24.488	269.5	8.06	0.1	185.5	315.5	29.5	1370.5	384	0	452.5	7.5	14.9965	216	3.745	0	221.55	5.5	397.5	1941.5	1.5	12.5	0	1169.015	0.701	0.1675	0.1715	0.4105	0.0455	0.1905	0.0335
747	1739.5	32.555	62	21.975	4.2405	103.75	2.7	1.05	94	254	425	1703	1.5	174	282	4.655	11.5095	167.5	3.375	0	46.7	1.55	370	1137	78	0	0	2276.565	0.578	0.154	0.1715	0.0965	0.0055	0.0175	0.006
1072.5	1659	52.72	107.5	45.155	11.273	144.25	5.145	0	114.5	294	624	1829.5	10.5	3418.5	1171.5	6.79	12.2695	320.5	3.795	0	65.2	1.2	463.5	1170.5	74	0	0	2244.12	0.976	0.2625	0.55	0.172	0.0175	0.0295	0.0235
1340	2573.5	36.17	136.5	63.455	17.512	187.35	6.88	0	134.5	209	48.5	834	26.5	1414	1201.5	8.22	16.06	251.5	5.765	0	58.5	2.1	846.5	1589	0	0	0	2215.32	1.229	0.3045	0.321	0.2765	0.0595	0.004	0.014
