F_CITMLB	F_OTHER	F_JUICE	F_TOTAL	V_DRKGR	V_REDOR_TOTAL	V_REDOR_OTHER	V_STARCHY_TOTAL	V_STARCHY_OTHER	V_OTHER	V_TOTAL	PF_LEGUMES	G_WHOLE	G_TOTAL	PF_MEAT	PF_CUREDMEAT	PF_ORGAN	PF_POULT	PF_SEAFD_HI	PF_SEAFD_LOW	PF_TOTAL	PF_EGGS	PF_SOY	PF_NUTSDS	D_MILK	D_YOGURT	D_CHEESE	D_TOTAL	OILS	SOLID_FATS	ADD_SUGARS	A_DRINKS
0.5184	0.6767	0	1.1951	0.256275	0.1397	0	0.45	0	0.936335	1.78231	1.345882	0.1934625	8.058195	1.7849475	4.2063	0	2.555	0	0	9.3202975	0.77405	0	0	1.147925	0	0.1854	1.345925	29.755514	46.262233	8.2244745	0
0	0	0	0	0	0.4059665	0.0431165	0.305	0.305	0.959503	1.6704695	0	0	8.89844	1.39685	0	0	0	0	11.0985	14.55263	2.05728	0	0	0.0561	0	0	0.0561	42.0873	38.9967245	21.821656	8.328
2.347211	0	0	2.347211	0	0.1495205	0	1.09425	0.2655	0.606796	1.8505665	3.7355625	0.8269	5.4074	3.10383	2.914627	0	0	0	0	7.247357	1.0273	0	0.2016	1.1423	0	0.23625	1.37855	26.832384	33.111996	7.9441325	0
0.5138	0.251625	0	0.765425	0	0.0315	0	0.0195	0	0	0.051	0	0	1.1528	0	0.3024	0	2.1735	0	0	2.4759	0	0	0	0	0	0	0	6.0246	21.930309	14.150275	0
0.2052	0.0244	0	0.2296	0.08025	0.502625	0.1167	0.4761	0.22935	0.315025	1.374	0.10845	1.8708	5.36075	0	0.7021	0	2.989	0	0	4.512923	0.504623	0	0.3172	0.0308	0	0.24675	0.27755	12.25571	6.455338	1.949758	0
0	0	0.713	0.713	0.65325	0.3435	0	1.05295	0.51545	0	2.0497	0	0	3.7016815	0.54375	0	0	4.238	0	0	4.810288	0.028538	0	0	0.79109	0	0.36425	1.16684	7.0778105	45.477277	17.974341	0
0.2592	0.82985	1.917425	3.006475	0.636525	0.334248	0.032031	0	0	0.27	1.240773	0	0.055106	7.555805	1.2825	0.2016	0	0.02684	0	0.6	2.738444	0.614904	0.0126	0	0.785845	0	0.4755295	1.2667745	24.560073	42.903982	10.547517	0
0	0.3953	0	0.3953	0	0.0145	0	0.2559375	0	0.0902	0.3606375	0	0	1.249988	0	2.99355	0	0.825	0	0	5.16505	1.3465	0	0	0.0649	0	0.1804	0.2453	9.5607625	13.40055	5.84515	0
0	0.3953	1.125	1.5203	0	0.08845	0	0	0	0.113006	0.201456	0	0	2.6729	0.45425	0	0	7.30275	0	0	7.8105	0.0535	0	0	0	0	0.4705625	0.4705625	19.85775	12.381817	14.7096	2.2125
0.0168	0	0.403	0.4198	0	0.2655	0	1.170875	1.0615	0.8517125	2.2880875	0.950025	0.6496	7.334049	0	2.3822	0	2.37135	0	0	8.480972	2.725022	0	1.0024	0.365104	0	0.6174	0.982504	44.51539	68.5517875	35.679372	0
