Var	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37
PHOS	-0.260996506252577	-0.056211418158533	0.104741488299499	-0.0228186535829134	0.0247564346419933	-0.0714653504610989	0.144961540741232	-0.0742647123594633	0.0466869070705814	-0.0270442152568606	-0.00651094819547247	0.167280156058955	-0.0845544494930864	-0.132315781378189	-0.0319779834200704	0.0930905112599842	0.0803230233078201	0.0781638995223721	-0.0883150676384729	-0.0181263131067763	-0.0124453759983779	-0.0607918586558351	0.175587001939499	0.0322141798224503	-0.0428723798554847	-0.12435064777026	-0.129458615010853	-0.121655467744596	-0.096890321692277	0.396169564452974	0.12985751589054	0.126761669594853	-0.164417859263717	-0.141201492900953	-0.662400783909598	0.171494808413581	0.00192134372687395
CARB	-0.20103774891864	0.138213152865475	-0.0138843103447869	0.014311651437529	0.143297561722181	0.19694200024799	0.0935288917538568	0.278361111993473	-0.116413404920372	-0.104693721200918	0.0900583724303115	-0.0859607085713453	0.186728424762388	0.028700088458124	0.0208144489754084	0.167154839378572	-0.15558663100378	0.189028905613931	-0.342422570484167	0.0591431796661865	-0.0188006573684927	-0.259672146706094	-0.127461403124293	-0.193843291528833	0.0296852810468231	0.490423900929741	-0.0340939308577995	-0.183937803353092	0.149019318313117	0.198108689419209	-0.192881874429843	-0.0846024635765549	0.061551819826173	-0.025589935684129	0.020802757090211	0.0327456945694479	0.00142630752102545
MAGN	-0.250550034391649	0.0581483671006056	-0.0867499847503471	-0.115569187479851	0.113531607716452	-0.101278411445599	-0.0585675783740854	-0.0394503933042718	-0.00731744462030033	0.145408349382983	0.036819122933177	0.0396995768045851	-0.0120202201966409	-0.0308035243995979	-0.0059838445267501	-0.121438585168735	-0.0520229172950573	0.121746184132724	-0.113171116568959	-0.274069026747112	-0.00960126088784498	-0.134291769168396	0.122950023576568	0.0943975873337155	0.167101024614331	-0.0274350271796258	-0.334688348225946	0.192301218868589	0.206023190696039	0.0834710222436285	0.127371624334503	0.412469553776387	-0.30759384498209	-0.149744616932312	0.397735433865145	-0.0924547010651918	0.00104257672321798
TFAT	-0.231371296389542	0.0392854909565483	0.269434328142293	-0.030889072532631	-0.147263512204348	0.111648082538236	-0.0848143452355488	-9.12080852014559e-05	0.0117968290715822	0.00586201000402559	0.0293968019643661	0.00986652352922172	-0.0095609031958677	-0.0189359392560603	-0.135797095088442	0.02425261851645	-0.0607236449772167	-0.231272125633717	-0.0506771578772565	0.0356906872522713	-0.00249814979685318	0.234565280026986	-0.124459959149623	-0.0423537594223878	0.0374195120504845	0.0561937882436562	-0.0845810956152672	0.125925705859852	-0.0495043622410051	-0.0637320328478788	-0.00995867690525001	0.113450912125148	0.0583985297097585	0.0376533867031211	0.174062642367151	0.770652851975286	-0.00211434533244754
PFAT	-0.204134154190665	0.0108950856793407	0.141378019522006	-0.0652962385244803	-0.0026522043263183	0.237812929358528	-0.267752865798562	0.118148469748969	0.106933895680608	-0.0866659744636199	-0.0860209660866635	-0.0112733371205339	-0.0318010555952535	-0.0382143349979351	-0.29529443708324	0.175688803894157	-0.0797536991430516	-0.301002106540409	-0.0273117554658812	0.262000731320916	0.0226531166216316	-0.00119044015199833	-0.0778524045782246	0.250202096509686	0.11375970692509	-0.0535554081027259	-0.251181324996723	-0.239084414056724	-0.128709459453244	-0.175686964550213	-0.0811032230919746	-0.00687644470293441	-0.296109728473548	0.140225395648252	-0.0413246757929743	-0.331714477139053	-0.000890702562310487
CHL	-0.214088797680332	-0.157102674395549	0.154863284465747	-0.161612540107644	0.0290427649538287	-0.178239713166128	0.0036165719587283	-0.0205182401009295	-0.0454679348415717	-0.0854879404399675	-0.0686459495832695	0.147766959749945	-0.0138297835290243	-0.120324512797259	-0.0105624415882409	-0.11466853203583	0.0818670114742406	0.0647047786447322	0.198499332036455	0.323954479004089	0.146922437327242	0.201846194039881	-0.0596504421644465	-0.00740736716468235	-0.374111279858563	0.173226917422581	0.141118246245078	-0.299508606750563	0.185861086920648	0.216021539373015	0.187310690951984	0.231151214749025	0.127317429554832	0.105288685757811	0.257173643032964	-0.136226694297576	0.0012666880934581
ATOC	-0.222102046091623	0.111081409046153	-0.0717226549503557	0.104217199559081	-0.0475168926004008	0.125559950185823	-0.291235369576778	-0.110949184375723	0.0760449126786881	0.232860513374648	-0.00795205023360222	0.0645753869676785	-0.0670732332331603	-0.107139131981117	-0.126896601422451	-0.115419458576238	-0.18714778934619	-0.0852385419037818	-0.0140128877188784	0.151989102325802	0.10430695164473	-0.0952561287040566	0.0277560154464142	0.11020794513866	-0.0787538578161941	0.0167005281187722	-0.0747193751374041	0.27625236355693	0.116768783421474	0.0713248130126681	0.0145926493121867	-0.0895405418402618	0.572554894308043	-0.340231980131767	-0.120762746830974	-0.159942655992858	0.001473359714432
ATOA	-0.0533417384583706	0.0941012119128214	-0.179687601856589	0.372338255635284	-0.0831744827657845	-0.0340227607311816	-0.224612142728042	-0.349049922918515	-0.08815202089361	0.303884755185942	0.0310702035539868	0.085216605543232	0.023681450915531	-0.19274211805532	0.251355064115175	0.0995322976275235	-0.185583026268036	0.021987066648578	0.18092842990334	0.118005258508682	0.215370083064425	-0.181210971800742	-0.0922175208473166	-0.21943265133435	-0.0647831058355629	0.156239350385147	-0.00136767513512108	-0.142736661710469	-0.197266110814151	-0.0567212165691669	0.0253246593179578	0.0284366829972046	-0.293814712573471	0.115421276338166	0.0107428613873764	0.0898954201314003	-0.00156000189223101
VARA	-0.111028770417398	-0.0197258749402491	-0.23578383288163	-0.0275922936419644	-0.347471129850894	-0.293497210440119	-0.0470321149993503	0.21827238562025	-0.0836722260683979	-0.249971565928824	-0.111039134147402	-0.158930782045171	0.149206268208865	-0.145164593661443	0.17804126690905	-0.0310896868374737	-0.169750301143708	-0.230044934079661	-0.035004062922635	-0.0564902864713362	0.0562088834502345	-0.145940910517238	-0.0488788147625659	-0.050141003695869	0.0955581830701175	-0.0755373317722719	-0.092099826281529	0.109477068493528	0.123320825926658	-0.030288918833946	0.0758191875579143	0.24159141485307	0.204697165406765	0.417380051029072	-0.206952277973494	-0.0335426671073542	0.000283166416451631
ACAR	-0.0283958668797229	-0.160399770814473	-0.314771126202416	-0.0362561182673631	-0.215081174274814	0.0639427719947421	-0.281683274347442	0.215763275884333	0.269865287513158	0.0925633856938779	0.211609209060369	0.364974426799437	0.140241519696678	0.120759432273083	-0.0146475273873233	-0.0753459795511357	0.146436585695843	-0.015610318279299	-0.0641794677611465	-0.12230541699972	-0.331644325612357	0.118197681266693	0.0152672440793268	-0.275006186307074	-0.255899206036365	0.0302159156390013	-0.123986418965054	-0.166940470861527	0.100130540719335	-0.155740178667793	0.0425776600976852	-0.0279809692487676	-0.0485031714822881	-0.0537517369575519	-0.0684914309630665	0.0163120498610902	0.000277726097957314
