Var	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39
PHOS	-0.264561564169659	0.00506420878785997	-0.0468802005650465	0.00276605305706252	-0.0403499638355988	0.075954176480805	-0.0795352596862922	0.0174065541269979	-0.153813890037819	0.0284828117375035	-0.114438847322669	-0.0511180289327984	0.0881585344593762	-0.0913968886696324	-0.0639082035361387	0.199195442017856	0.0492099296022392	0.0183510632021455	0.0731062850593708	-0.0553491844263214	-0.0793424882871338	-0.144131097132332	0.0556833398187436	0.118302718240061	0.0099723723050753	-0.0889905777864149	-0.131251087314444	-0.143280294470669	0.184845366764267	0.105697820187864	0.0626943854712806	0.214875365105907	-0.464879716976394	-0.262842629166174	-0.13350906327078	0.536741107850484	0.156995250733658	0.0248562846907281	0.0274534075271728
CARB	-0.209154462679101	0.0589263982329795	-0.000582126227107703	-0.181738719440314	0.126861888819499	0.0909477295876059	-0.043540745931926	-0.248372076557483	-0.0415706614667061	0.0906866026676532	-0.0538482678981614	0.0319170131619532	-0.166918807501522	-0.006134265484246	0.00303232199378698	-0.00486817775154619	0.00570809634987274	0.0219367323167416	0.298244183239445	0.259191072580966	0.444290351782757	0.105812710338974	0.148025298198336	-0.451721350003882	-0.128700248475305	0.135304142918547	0.0922887399828669	0.275756463475011	-0.0706258526067827	0.142716440279154	-0.11481492650874	-0.0180110852646496	-0.0233546650461349	-0.153630460527044	-0.0706421733058145	0.0667109886501614	0.06149072951467	0.0553709107470144	-0.00863072240507423
FIBE	-0.189808427778385	0.1062698057767	0.0939359592320858	-0.25355136959783	0.17058147201738	0.165542521928255	0.0980379814426648	-0.150224894822799	-0.00380697212649361	0.0112080639522822	-0.0926575307383298	-0.218621482105632	-0.112589658981388	0.16293970961894	0.157136359286085	0.0375688202346827	-0.145000123931734	-0.211803545039392	-0.0932406037975623	-0.0723347969416312	-0.180714779303149	-0.214261960224983	-0.0262253082374173	0.0217157167413432	0.00156481693898179	-0.166493310298616	-0.214326272424367	-0.047494285578472	-0.392123721689483	-0.0153127180474168	-0.186973135613226	-0.0229507589096282	-0.0865702156300101	-0.281274820344757	0.132882954820552	-0.143967926560854	-0.280120868236954	-0.190507533741359	0.0659409479922501
TFAT	-0.220948523875819	-0.286218347371431	-0.0330271922701029	-0.0629333521374214	-0.0557668035731586	-0.0408478367994774	0.113871892483205	-0.0308712289587658	0.045374730984199	-0.0887677322943196	0.0137207067234955	-0.0258437010931212	-0.130213510984379	-0.0360357387766201	0.0191001760266204	0.00261720791473541	0.0814349297973276	0.0193982350652758	-0.0192958980998845	0.0200241881077659	-0.0181268579968723	0.0750529330051194	0.17131079935072	-0.0651347259989181	0.0340644632512526	0.0252032880153026	-0.0878322150424604	-0.119577120349108	-0.0613270849718444	-0.147458172060928	0.167760091283432	0.294076654793449	-0.0952009748919343	0.0319036140614242	0.255795984578842	-0.307314393434486	0.288098270784809	0.240561464959742	0.54221251731554
SFAT	-0.197380931700824	-0.280296355490771	-0.174333309812627	-0.0774706408752791	0.0720023893756684	-0.207991763404435	-0.0419729149959423	-0.00772001199062598	0.0122934482073991	-0.0298736357307667	0.0736272640173376	0.0093758255901491	-0.116780871002299	-0.0966152773545874	-0.0342854992239627	0.0358832934010265	0.0431727442519878	0.000462864002141475	0.00133320621703656	0.0227107519648611	0.0546305272825068	0.0784795607151493	-0.00839551620177338	0.0292393421650597	-0.00273758179158595	0.0361804058805734	-0.204073397587929	-0.138357031399833	-0.112178782894059	-0.170931566523232	0.00504447892051504	0.0560354137612899	-0.1114259107825	-0.0332412056844599	0.19803810137589	-0.155088231566826	0.157300482868912	-0.00184463011244335	-0.736725859666078
CHL	-0.185252221812166	-0.0702170769828929	0.162269494435743	0.0360345188917844	-0.221666092183527	-0.0136966814538385	-0.333867228538454	0.126846323311066	-0.0883548761579009	-0.0534374178239856	-0.0813178023536541	-0.0425308343641206	0.0358424593035967	-0.00195176997454755	-0.197023209737217	0.112194454468076	-0.0560637569434203	0.161959684413242	-0.29925291297015	0.0340515066534087	-0.0395246931094279	-0.0343473756242223	-0.155037891185756	-0.391683138593659	0.234104539951475	0.349011044307572	0.0687905282450166	-0.14871144255066	-0.00831000282737249	0.136271942608147	0.0307408741379676	-0.167225983656167	-0.0658584089389253	-0.0245715445363252	0.265744201684777	-0.0116310790471875	-0.151734420266792	-0.179427337776674	0.0475296726980875
ATOC	-0.232272157531599	0.092845896892302	-0.0354769882463861	0.0997730574445945	0.0212997344488603	0.10436313911892	0.212927665469318	0.118297065238091	-0.0558699352547784	-0.231649693630144	0.0649551066687682	-0.01267192871558	0.085131792506815	0.00639206006138535	0.0623342108363472	-0.154604756518481	0.157800802792353	0.15142010693796	-0.0567907416118623	-0.0505057993048072	-0.118450257755592	0.0654782332961521	0.238539533742813	-0.151061742533793	0.0357680226262654	0.271083655361902	-0.0356406053064488	0.0377426433905723	-0.190626546709311	-0.264838138075798	0.312785045585103	0.239673565517217	0.226731748125151	-0.100317067861752	-0.332577480700802	0.117865688822534	-0.211587800323014	-0.171689919375202	-0.0906721515409133
ATOA	-0.105855989686329	0.242743343525695	-0.209134689394141	0.308688575676865	0.0188175165900041	0.0416304497889551	0.082598331010596	0.136262276901839	-0.0696513991558494	-0.20052317295544	0.19157132646875	0.00766737745883357	0.258836420598656	-0.104151486888503	0.146875322958857	-0.18774126760743	0.0914706242840906	0.106372327555991	-0.00208358269876979	-0.105251276638429	-0.0628506163659105	0.0007937535062899	0.132842635383921	-0.144040912170631	-0.152293771228321	0.0547419362263356	-0.0687644305085294	-0.0716025376087725	-0.035246008398235	0.0725505478510646	-0.581577311031167	-0.0891967222091272	-0.0732364584073566	-0.0390277505746717	0.222614355816611	-0.0228821674699742	0.145115009297788	0.0773573404050492	0.0320219313730509
VARA	-0.0773444014878563	0.232964791180285	0.0252084872501694	0.0296908578970065	-0.0430089024092878	-0.0685696167906611	-0.356943043556659	0.342517585500497	0.260305795498387	0.155190309528898	-0.12339678570372	-0.13102327723433	-0.275032673293182	-0.142702025258201	-0.155162931773713	-0.253161989838227	0.0054400033279591	-0.00764745193809502	0.115023512373731	-0.102185757348864	-0.14149999508508	0.106071386701845	0.145875616979656	-0.0443215987753646	-0.376549076431829	-0.181824993067984	0.0237546730849532	0.0953470069483546	-0.127534571614138	-0.0207993113155393	0.119413033108544	0.116639686436539	-0.0719291684671491	0.144327882523445	0.160021675683855	0.0718942963199047	-0.0696619985783433	-0.0972262267661392	0.0104464181425626
ACAR	-0.0152093883860903	0.265252849164043	0.0811548909186137	0.187249866572397	0.0625102650752894	-0.24156465043824	0.104501848710474	-0.441900531556294	-0.0050668996369248	-0.201098876845547	-0.0740694462917149	0.00911121057958229	-0.244958478037841	-0.258835709188417	-0.24181158811197	0.0701737066719152	-0.124756123452844	0.0540167450407748	-0.0705593720590292	-0.0955556062709789	-0.194323810173486	0.159035122835036	0.020033328894167	-0.0813321978170832	0.0371733785893748	-0.0676911482091798	0.00568597119815928	-0.110136716166471	0.0419505167959832	0.0185772943807513	0.0203175096482916	-0.0208175268660798	0.0234625146997934	-0.048720849449023	0.00211577816301471	0.0442538461982471	-0.263119997985476	0.427255174274802	-0.0496432219687384
