GRMS	SODI	CARB	SUGR	MAGN	TFAT	SFAT	CHOL	ATOC	ACAR	RET	BCAR	CRYP	LYCO	LZ	CALC	NIAC	FDFE	POTA	CHL	VC	VD	CAFF	THEO	ALCO	S140	S120	P226	NoOfItems
1965.47	1658	75.125	10.555	105	35.38	9.6945	190.5	1.82	433	25	1004	61.5	314.5	393.5	120	15.209	183	1054.5	156.85	35.6	0.7	2	0	0	0.2775	0.0225	0.0045	13
1117.965	1031	76.67	44.09	64	19.19	4.7575	335	3.11	79.5	127	472.5	26	6899.5	624.5	135.5	7.666	135.5	642	267.5	39.55	1.85	23.5	0	0	0.0935	0.009	0.046	7
1869.905	1764.5	96.505	30.075	85.5	40.755	15.8325	97.5	1.465	16	93	76.5	3	940.5	50.5	446	10.5915	227.5	696	85.5	6.8	0.5	193	0	0	1.3245	0.794	5e-04	9
1251.12	1197	100.59	59.94	70	20.025	7.365	137	1.585	0	122	49.5	2.5	0	177	384	5.719	126.5	813.5	120.4	75.25	1.15	2.5	91	0	0.6875	0.35	0.0155	10
1136.475	1039	88.955	51.83	124	34.84	13.816	62.5	2.68	318.5	113	2119	83.5	0	1616.5	343.5	8.647	150.5	1465.5	99.2	47.6	1.55	53.5	60	0	0.6925	0.1965	0.008	10
1096.885	1670	95.305	26.1	82	46.725	12.553	51.5	8.11	1	20	32	4.5	540.5	90.5	119.5	8.4425	68.5	918.5	89.8	6.95	0.4	2	59.5	0	0.322	0.053	0.0015	7
5326.225	1393	131.7	90.425	123.5	22.225	7.9365	133	1.79	113.5	51	2337	18	545	3782	350	11.278	111	922.5	112.05	103.6	0.1	0	0	0	0.5135	0.9295	0.004	9
1814.63	418	183.535	146.385	132.5	38.285	22.663	154.5	1.23	38	359.5	99	0	0	84	493.5	4.5135	45	1781	122.05	47.8	0.7	129.5	0	0	3.664	1.3285	0	7.5
1381.565	1355	74.81	25.59	135.5	28.905	8.6625	189.5	3.1	985.5	47	2104	2	0	796.5	181	14.31	139	1150	218.05	9.9	0.8	48	5	0	0.379	0.3155	0.015	9
1440.695	1652.5	132.4	55.94	92	20.71	7.218	192.5	1.555	53	113.5	228.5	38.5	3.5	372	337	6.301	113.5	692	140.95	71.4	1.6	0	0	3.6	0.643	0.168	0.026	10
