"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37"
"F_TOTAL",-0.498978042598426,0.0667244224463583,-0.368673408859949,0.243305708215133,-0.421703937740118,0.370950251492518,-0.179445449869027,0.273068969768413,-0.304790205283202,0.0975551426005073,-0.00613795840279788,-0.00223971494993638,-0.0485494166520137,-0.0088718381437323,0.0832543008065929,0.000419674764470861,0.00110558288291175,0.0140262449651542,-0.0397881236089118,-0.0602578007438631,0.00442304612794664,0.072903404170926,-0.00393867869714137,-0.0202585242905009,-0.0708769203657441,0.00973436454120975,-0.0336171314814485,0.000546193766627994,-0.000505004697305694,-1.19318409791242e-06,-2.47566551936969e-16,-1.53839421464186e-17,-2.16543977037073e-15,-9.31258715371874e-17,0,0,0
"F_CITMLB",-0.254771292823948,-0.000675937445188728,-0.340838242060425,-0.0818725230249022,-0.217359575911463,0.187611016139567,-0.152657719741731,0.422894914267119,0.083105732825478,0.167278172730894,0.161270174517547,-0.118359182192578,-0.0226716611597805,-0.299386557198564,0.156674100143604,0.0237918898861436,0.0514733100883116,-0.346486608687305,-0.086633271518755,-0.0137241037628502,0.317252889515354,-0.135113196293711,0.131101861355776,-0.221058863234441,-0.00645169913783764,-0.146001995813632,0.0245656840981098,0.0120067439118086,0.00184685827878908,-3.22772135097704e-06,1.37670341640628e-16,1.16180877732539e-17,9.92852369131307e-16,4.26981361699499e-17,-3.67047392500944e-32,2.37715602563311e-31,4.34697908892315e-32
"F_OTHER",-0.355732711236664,0.237721152320838,-0.265948501353184,0.272629158707945,-0.336604519896241,0.299348891815785,-0.258379812235672,0.169060841283692,-0.241164662214425,0.0640625549597061,-0.13388785690396,0.0961342661646056,-0.0705673302836782,0.0738766263508237,0.00703348075677435,0.0783991653495399,0.0376746858272623,0.230826454519824,0.120100751291968,-0.0195548245097539,-0.359014061980925,0.179390476600495,0.111813839087962,0.0796194559160878,-0.13361161523978,0.0145901058524582,-0.00877529974094098,-0.000709432728427582,-0.00226175137910796,5.47202541216028e-07,3.61537221767244e-16,1.14540398471528e-17,1.57231509297592e-15,6.76182341194316e-17,-2.70296492139287e-31,3.97505922832598e-31,7.6609491914261e-32
"F_JUICE",-0.323632778425947,-0.275831006664444,-0.0504129469868096,0.21656409745465,-0.202843230221694,0.176552134206217,0.204197691758645,-0.11386662816756,-0.438370875833849,-0.0670343304371316,0.0447686217069527,-0.0464397808127107,0.0341846458626362,0.195311717128415,0.0164922490446903,-0.176131824703845,-0.130243055172779,0.0138162048434104,-0.228012587689499,-0.103897686689924,0.312584612272701,0.012013533368955,-0.379456422258255,0.0608376307161474,0.07601841905774,0.172652314733997,-0.10061126154915,-0.0116101743151144,0.000758876953331223,-2.88956433757022e-07,-1.46809073201354e-15,7.97329841412206e-18,8.28818102663829e-16,3.56437566227735e-17,3.42870865094686e-31,-4.57879514328727e-31,-3.83187708268069e-32
"V_TOTAL",-0.736182092565664,0.38249943484438,-0.189221712828989,0.181634920919057,0.26046607308392,-0.235565390645349,-0.0425242037882924,0.0215793460065437,0.153968209210182,-0.124512533103945,-0.190343960426416,-0.0354284041194833,-0.0177512524796255,0.036488699535237,-0.00639658457877054,0.0739689875329016,-0.0477793050180748,-0.0550035386393357,-0.0849824349640421,-0.0162472557278972,0.0425568783576674,-0.0115987548351901,-0.0839588714522353,0.0542567891353862,-0.0755828736351574,-0.0382270805040578,0.0287396039833236,-0.0270782114666186,0.00243809365603611,-1.34497087058656e-06,8.38728275730083e-08,3.3965699367955e-12,-1.81680519868071e-25,-2.43955297985956e-26,-4.5730975377217e-25,-1.11471653589731e-25,-7.96021853428598e-25
"V_DRKGR",-0.3743026802181,0.322656636411549,-0.135792197704889,0.17847194670954,-0.21228432661521,-0.290375298459386,-0.0358620363806841,0.0208951868470525,0.0946580932166317,-0.173070510067332,-0.377931388706436,-0.0241796728384592,0.0103777395381432,-0.0276944095273828,-0.00592911998421719,0.0372742109006658,-0.0538714220264913,-0.243587851208046,-0.0204146583338413,-0.0502655948650208,0.016064210648039,-0.384171199219411,0.146161725431849,0.279440613411308,-0.0386665936928339,0.275225457751283,0.00568994130370237,-0.00205708856787396,0.0025595780515155,2.0155002985686e-06,-3.1539663241345e-08,-1.27724897729994e-12,6.83194268787953e-26,9.17368951310243e-27,1.71967608196714e-25,4.1917605778622e-26,2.99337085333494e-25
"V_REDOR_TOTAL",-0.627374440935295,0.0917388175917466,-0.31769315328322,-0.141075211089795,0.239109399326066,-0.367773255321003,-0.233224530093227,-0.0258610465599205,0.0577935066527139,0.193487931261018,0.307470924273987,-0.0543320676226832,-0.0341191327709768,0.0915912307060397,-0.100480654551199,-0.19903094875897,0.0675462875538955,0.0896000609935057,0.0545984945242667,-0.102939382202891,0.0170856952635241,0.0433379807865831,0.00529726947086751,0.0191679285459536,-0.00308779338360699,0.0511021087315954,-0.0265361262599086,0.00845382974856106,-0.000296202634369719,-1.39173253525327e-06,-1.41316568405503e-08,-5.72316569630907e-13,5.03187339460899e-17,-1.44568147532062e-16,-2.98733921962684e-16,-4.42756164655431e-16,4.44435677625996e-17
"V_REDOR_TOMATO",-0.516618768743264,-0.140468255314938,-0.117912394694163,-0.154690584351285,0.336264561751032,-0.307637448583232,-0.164057436322279,-0.00782177073406681,-0.0246281845929766,0.212614632840635,0.192014566829331,0.211305593001211,-0.181941013985105,0.0276203366295244,-0.00210839030947559,0.0371945034371316,-0.096487555099233,0.160489663997482,0.199365220707592,-0.286756868086653,0.262295216582395,0.113983531253196,0.124864528157003,0.127374975341483,-0.077612712449176,0.0363146472013869,-0.00908343600543795,0.0138396605176054,-0.000441365304136857,-4.50719794719886e-06,-1.06831640710851e-08,-4.32603252489803e-13,-3.74048424330873e-17,1.07465915021209e-16,2.220663046079e-16,3.29126416707851e-16,-3.30374894373621e-17
"V_REDOR_OTHER",-0.370777722273135,0.29888291239986,-0.350513162862754,-0.0397450476321976,-0.0165406106975806,-0.211927940920561,-0.169542870255095,-0.0305449489726402,0.115954587665541,0.0539982792539765,0.251005891859054,-0.322120379658816,0.154088238458595,0.108272678887753,-0.150713500188242,-0.345390170618435,0.21220625758989,-0.0452555461484566,-0.142619507825337,0.167946937742251,-0.271055048476532,-0.0630695866269047,-0.133356261888516,-0.115065105295184,0.0832031063891324,0.0367321278146076,-0.0301445387230283,-0.00279444360601548,4.85903459933498e-05,2.98450105444804e-06,-9.43201807735776e-09,-3.81949292257911e-13,-3.30242168309868e-17,9.48801665439308e-17,1.96059261774625e-16,2.90581150545131e-16,-2.91683414168262e-17
"V_STARCHY_TOTAL",-0.174670179461044,0.267486058560323,0.164350054830588,0.397622968083684,0.637281707292532,0.489663934695595,-0.114354170071861,0.0445312269082556,0.0297006353350931,-0.132052920165686,0.058343238885691,0.0320134496980816,-0.0920345857867507,-0.0180235251348084,0.00570722645226246,-0.0959067935526849,0.0082829729114712,-0.0127266763523467,0.0181705475405236,0.0597761586094988,0.0309152775470638,-0.0631792250207089,-0.00159425966583867,-0.000521808901220598,0.0259730468733949,0.0208909198241685,0.0262341691448497,-0.0143763035390904,0.00175267216592443,1.55122421885503e-06,-1.26687222983032e-08,-5.13032852625389e-13,1.49125416735543e-16,-4.28444508959173e-16,-2.36803555110021e-16,2.39772732878168e-16,1.63992557623956e-16
